ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
ROK,1d,2025-12-09T00:00:00,400.76,405.13,400.0,400.61,594676.0,normal,2025-12-10T10:41:34.126386Z,2025-12-09
ROK,1d,2025-12-08T00:00:00,405.0,406.49,400.28,402.22,824612.0,normal,2025-12-10T10:41:34.126386Z,2025-12-08
ROK,1d,2025-12-05T00:00:00,403.51,406.04,401.5,404.29,780316.0,normal,2025-12-10T10:41:34.126386Z,2025-12-05
ROK,1d,2025-12-04T00:00:00,400.37,406.44,399.62,403.89,1310900.0,normal,2025-12-10T10:41:34.126386Z,2025-12-04
ROK,1d,2025-12-03T00:00:00,391.01,400.87,388.54,400.37,771626.0,normal,2025-12-10T10:41:34.126386Z,2025-12-03
ROK,1d,2025-12-02T00:00:00,392.84,393.37,387.0,391.2,721700.0,normal,2025-12-10T10:41:34.126386Z,2025-12-02
ROK,1d,2025-12-01T00:00:00,390.98,396.82,388.52,389.96,919016.0,normal,2025-12-10T10:41:34.126386Z,2025-12-01
ROK,1d,2025-11-28T00:00:00,395.98,398.82,394.85,395.86,540200.0,normal,2025-12-10T10:41:34.126386Z,2025-11-28
ROK,1d,2025-11-26T00:00:00,391.88,397.56,390.98,393.99,895800.0,normal,2025-12-10T10:41:34.126386Z,2025-11-26
ROK,1d,2025-11-25T00:00:00,386.02,392.41,384.88,391.3,834611.0,normal,2025-12-10T10:41:34.126386Z,2025-11-25
ROK,1d,2025-11-24T00:00:00,379.45,387.16,376.44,384.37,2140109.0,normal,2025-12-10T10:41:34.126386Z,2025-11-24
ROK,1d,2025-11-21T00:00:00,371.16,384.65,369.04,378.73,1644909.0,normal,2025-12-10T10:41:34.126386Z,2025-11-21
ROK,1d,2025-11-20T00:00:00,382.62,383.79,368.32,368.7,1455904.0,normal,2025-12-10T10:41:34.126386Z,2025-11-20
ROK,1d,2025-11-19T00:00:00,367.63,373.66,365.42,372.48,1204204.0,normal,2025-12-10T10:41:34.126386Z,2025-11-19
ROK,1d,2025-11-18T00:00:00,366.67,370.19,363.92,366.01,1007300.0,normal,2025-12-10T10:41:34.126386Z,2025-11-18
ROK,1d,2025-11-17T00:00:00,374.05,375.75,366.78,370.1,1559900.0,normal,2025-12-10T10:41:34.126386Z,2025-11-17
ROK,1d,2025-11-14T00:00:00,373.88,381.66,371.69,377.13,866898.0,normal,2025-12-10T10:41:34.126386Z,2025-11-14
ROK,1d,2025-11-13T00:00:00,389.63,393.0,377.22,379.69,1007631.0,normal,2025-12-10T10:41:34.126386Z,2025-11-13
ROK,1d,2025-11-12T00:00:00,393.6,398.2,391.61,394.54,1115610.0,normal,2025-12-10T10:41:34.126386Z,2025-11-12
ROK,1d,2025-11-11T00:00:00,391.32,393.21,387.92,392.08,1034271.0,normal,2025-12-10T10:41:34.126386Z,2025-11-11
ROK,1d,2025-11-10T00:00:00,377.35,393.72,377.35,391.24,1405973.0,normal,2025-12-10T10:41:34.126386Z,2025-11-10
ROK,1d,2025-11-07T00:00:00,368.02,375.52,363.78,373.49,1509600.0,normal,2025-12-10T10:41:34.126386Z,2025-11-07
ROK,1d,2025-11-06T00:00:00,383.16,396.89,372.5,372.5,2076208.0,normal,2025-12-10T10:41:34.126386Z,2025-11-06
ROK,1d,2025-11-05T00:00:00,356.87,365.36,354.11,362.6,1199996.0,normal,2025-12-10T10:41:34.126386Z,2025-11-05
ROK,1d,2025-11-04T00:00:00,359.05,361.09,355.18,359.85,737670.0,normal,2025-12-10T10:41:34.126386Z,2025-11-04
ROK,1d,2025-11-03T00:00:00,366.48,368.0,359.78,364.54,806626.0,normal,2025-12-10T10:41:34.126386Z,2025-11-03
ROK,1d,2025-10-31T00:00:00,365.81,370.46,365.81,368.36,723771.0,normal,2025-12-10T10:41:34.126386Z,2025-10-31
ROK,1d,2025-10-30T00:00:00,365.0,375.02,364.17,365.66,539040.0,normal,2025-12-10T10:41:34.126386Z,2025-10-30
ROK,1d,2025-10-29T00:00:00,363.13,372.23,362.5,368.15,880762.0,normal,2025-12-10T10:41:34.126386Z,2025-10-29
ROK,1d,2025-10-28T00:00:00,360.42,362.22,356.64,361.98,549037.0,normal,2025-12-10T10:41:34.126386Z,2025-10-28
ROK,1d,2025-10-27T00:00:00,360.2,364.54,359.0,361.53,601037.0,normal,2025-12-10T10:41:34.126386Z,2025-10-27
ROK,1d,2025-10-24T00:00:00,361.6,361.6,356.34,356.48,419098.0,normal,2025-12-10T10:41:34.126386Z,2025-10-24
ROK,1d,2025-10-23T00:00:00,350.63,357.16,350.63,357.16,414029.0,normal,2025-12-10T10:41:34.126386Z,2025-10-23
ROK,1d,2025-10-22T00:00:00,357.0,360.7,349.12,350.3,623987.0,normal,2025-12-10T10:41:34.126386Z,2025-10-22
ROK,1d,2025-10-21T00:00:00,351.24,358.83,350.12,354.16,499400.0,normal,2025-12-10T10:41:34.126386Z,2025-10-21
ROK,1d,2025-10-20T00:00:00,349.77,353.66,349.33,352.79,422654.0,normal,2025-12-10T10:41:34.126386Z,2025-10-20
ROK,1d,2025-10-17T00:00:00,347.19,348.1,343.81,347.66,681600.0,normal,2025-12-10T10:41:34.126386Z,2025-10-17
