ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
ROL,1d,2025-12-09T00:00:00,60.13,60.99,57.54,58.01,3467858.0,normal,2025-12-10T10:30:13.220419Z,2025-12-09
ROL,1d,2025-12-08T00:00:00,61.22,61.41,60.49,60.54,3075212.0,normal,2025-12-10T10:30:13.220419Z,2025-12-08
ROL,1d,2025-12-05T00:00:00,60.77,61.6,60.76,61.4,2276315.0,normal,2025-12-10T10:30:13.220419Z,2025-12-05
ROL,1d,2025-12-04T00:00:00,60.77,61.03,60.15,60.34,1978000.0,normal,2025-12-10T10:30:13.220419Z,2025-12-04
ROL,1d,2025-12-03T00:00:00,61.24,61.24,60.46,60.62,1710500.0,normal,2025-12-10T10:30:13.220419Z,2025-12-03
ROL,1d,2025-12-02T00:00:00,61.33,61.57,60.58,60.9,1737788.0,normal,2025-12-10T10:30:13.220419Z,2025-12-02
ROL,1d,2025-12-01T00:00:00,61.26,61.66,61.08,61.18,2332700.0,normal,2025-12-10T10:30:13.220419Z,2025-12-01
ROL,1d,2025-11-28T00:00:00,61.39,61.84,61.39,61.48,1014743.0,normal,2025-12-10T10:30:13.220419Z,2025-11-28
ROL,1d,2025-11-26T00:00:00,61.48,61.7,61.19,61.5,1927025.0,normal,2025-12-10T10:30:13.220419Z,2025-11-26
ROL,1d,2025-11-25T00:00:00,60.38,61.46,60.0,61.22,2328669.0,normal,2025-12-10T10:30:13.220419Z,2025-11-25
ROL,1d,2025-11-24T00:00:00,60.11,60.28,59.59,60.12,3504438.0,normal,2025-12-10T10:30:13.220419Z,2025-11-24
ROL,1d,2025-11-21T00:00:00,59.89,60.62,59.51,60.31,2274210.0,normal,2025-12-10T10:30:13.220419Z,2025-11-21
ROL,1d,2025-11-20T00:00:00,59.46,60.1,58.81,59.63,2746631.0,normal,2025-12-10T10:30:13.220419Z,2025-11-20
ROL,1d,2025-11-19T00:00:00,58.5,59.49,58.5,59.35,2548805.0,normal,2025-12-10T10:30:13.220419Z,2025-11-19
ROL,1d,2025-11-18T00:00:00,57.98,59.03,57.69,58.61,3351700.0,normal,2025-12-10T10:30:13.220419Z,2025-11-18
ROL,1d,2025-11-17T00:00:00,58.27,58.71,57.89,57.96,3001508.0,normal,2025-12-10T10:30:13.220419Z,2025-11-17
ROL,1d,2025-11-14T00:00:00,57.77,58.51,57.65,58.22,2749204.0,normal,2025-12-10T10:30:13.220419Z,2025-11-14
ROL,1d,2025-11-13T00:00:00,57.99,58.43,57.2,57.61,3370536.0,normal,2025-12-10T10:30:13.220419Z,2025-11-13
ROL,1d,2025-11-12T00:00:00,58.97,59.06,58.08,58.48,7939315.0,normal,2025-12-10T10:30:13.220419Z,2025-11-12
ROL,1d,2025-11-11T00:00:00,58.66,59.1,58.25,58.53,10525300.0,normal,2025-12-10T10:30:13.220419Z,2025-11-11
ROL,1d,2025-11-10T00:00:00,57.95,58.79,57.61,58.56,1989900.0,normal,2025-12-10T10:30:13.220419Z,2025-11-10
ROL,1d,2025-11-07T00:00:00,58.89,58.89,58.29,58.61,1985312.0,normal,2025-12-10T10:30:13.220419Z,2025-11-07
