ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
SHW,1d,2025-12-10T00:00:00,322.19,326.905,320.11,326.31,1371308.0,normal,2025-12-11T07:46:36.827004Z,2025-12-10
SHW,1d,2025-12-09T00:00:00,326.53,327.55,320.95,321.14,1685040.0,normal,2025-12-11T07:46:36.827004Z,2025-12-09
SHW,1d,2025-12-08T00:00:00,331.47,333.09,326.64,327.13,1376394.0,normal,2025-12-11T07:46:36.827004Z,2025-12-08
SHW,1d,2025-12-05T00:00:00,335.37,336.01,332.44,333.11,2011891.0,normal,2025-12-11T07:46:36.827004Z,2025-12-05
SHW,1d,2025-12-04T00:00:00,339.25,340.66,334.84,335.37,1368445.0,normal,2025-12-11T07:46:36.827004Z,2025-12-04
SHW,1d,2025-12-03T00:00:00,339.06,342.08,337.31,339.24,1282015.0,normal,2025-12-11T07:46:36.827004Z,2025-12-03
SHW,1d,2025-12-02T00:00:00,343.31,343.31,335.85,337.49,1389400.0,normal,2025-12-11T07:46:36.827004Z,2025-12-02
SHW,1d,2025-12-01T00:00:00,339.88,344.8,339.11,341.49,1662733.0,normal,2025-12-11T07:46:36.827004Z,2025-12-01
SHW,1d,2025-11-28T00:00:00,342.45,344.69,342.25,343.69,566814.0,normal,2025-12-11T07:46:36.827004Z,2025-11-28
SHW,1d,2025-11-26T00:00:00,341.26,344.84,339.97,343.39,1174300.0,normal,2025-12-11T07:46:36.827004Z,2025-11-26
SHW,1d,2025-11-25T00:00:00,338.81,344.14,337.13,342.65,1452450.0,normal,2025-12-11T07:46:36.827004Z,2025-11-25
SHW,1d,2025-11-24T00:00:00,337.47,338.9,333.59,338.0,2306526.0,normal,2025-12-11T07:46:36.827004Z,2025-11-24
SHW,1d,2025-11-21T00:00:00,329.49,342.59,329.46,337.06,2392500.0,normal,2025-12-11T07:46:36.827004Z,2025-11-21
SHW,1d,2025-11-20T00:00:00,331.04,334.44,327.47,328.01,2882249.0,normal,2025-12-11T07:46:36.827004Z,2025-11-20
SHW,1d,2025-11-19T00:00:00,328.02,330.16,324.62,329.78,2050526.0,normal,2025-12-11T07:46:36.827004Z,2025-11-19
SHW,1d,2025-11-18T00:00:00,322.92,327.05,318.22,323.83,2255311.0,normal,2025-12-11T07:46:36.827004Z,2025-11-18
SHW,1d,2025-11-17T00:00:00,331.4,333.21,326.72,326.81,1991675.0,normal,2025-12-11T07:46:36.827004Z,2025-11-17
SHW,1d,2025-11-14T00:00:00,337.17,337.92,331.53,332.18,2317500.0,normal,2025-12-11T07:46:36.827004Z,2025-11-14
SHW,1d,2025-11-13T00:00:00,342.02,345.95,338.51,338.84,2322921.0,normal,2025-12-11T07:46:36.827004Z,2025-11-13
SHW,1d,2025-11-12T00:00:00,345.58,348.38,344.29,344.72,1516342.0,normal,2025-12-11T07:46:36.827004Z,2025-11-12
SHW,1d,2025-11-11T00:00:00,343.48,346.53,341.76,345.08,2216660.0,normal,2025-12-11T07:46:36.827004Z,2025-11-11
SHW,1d,2025-11-10T00:00:00,338.86,343.5,335.99,342.55,1617113.0,normal,2025-12-11T07:46:36.827004Z,2025-11-10
SHW,1d,2025-11-07T00:00:00,334.23,341.34,332.5,340.16,1631948.0,normal,2025-12-11T07:46:36.827004Z,2025-11-07
SHW,1d,2025-11-06T00:00:00,335.4,336.98,332.83,333.66,1989983.0,normal,2025-12-11T07:46:36.827004Z,2025-11-06
SHW,1d,2025-11-05T00:00:00,342.2,344.1,334.25,335.77,2543796.0,normal,2025-12-11T07:46:36.827004Z,2025-11-05
SHW,1d,2025-11-04T00:00:00,342.09,346.5,336.79,342.98,2221123.0,normal,2025-12-11T07:46:36.827004Z,2025-11-04
