ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
SLB,1d,2025-12-15T00:00:00,39.41,39.5,38.52,38.9,10957100.0,normal,2026-01-01T03:44:30.208374Z,2025-12-15
SLB,1d,2025-12-12T00:00:00,40.55,40.78,39.15,39.45,14892511.0,normal,2026-01-01T03:44:30.208374Z,2025-12-12
SLB,1d,2025-12-11T00:00:00,39.85,40.88,39.78,40.34,18982800.0,normal,2026-01-01T03:44:30.208374Z,2025-12-11
SLB,1d,2025-12-10T00:00:00,38.35,39.99,38.2,39.93,20648135.0,normal,2026-01-01T03:44:30.208374Z,2025-12-10
SLB,1d,2025-12-09T00:00:00,38.1,38.69,38.1,38.3,16847252.0,normal,2026-01-01T03:44:30.208374Z,2025-12-09
SLB,1d,2025-12-08T00:00:00,38.33,38.83,37.73,38.24,24484700.0,normal,2026-01-01T03:44:30.208374Z,2025-12-08
SLB,1d,2025-12-05T00:00:00,38.23,39.0,38.22,38.46,12579709.0,normal,2026-01-01T03:44:30.208374Z,2025-12-05
SLB,1d,2025-12-04T00:00:00,37.5,38.3,37.41,38.12,15860100.0,normal,2026-01-01T03:44:30.208374Z,2025-12-04
SLB,1d,2025-12-03T00:00:00,36.43,37.63,36.23,37.55,16133740.0,normal,2026-01-01T03:44:30.208374Z,2025-12-03
SLB,1d,2025-12-02T00:00:00,36.31,36.52,35.51,36.36,12825600.0,normal,2026-01-01T03:44:30.208374Z,2025-12-02
SLB,1d,2025-12-01T00:00:00,36.25,36.98,36.23,36.6,12674413.0,normal,2026-01-01T03:44:30.208374Z,2025-12-01
SLB,1d,2025-11-28T00:00:00,35.72,36.38,35.52,36.24,4013044.0,normal,2026-01-01T03:44:30.208374Z,2025-11-28
SLB,1d,2025-11-26T00:00:00,35.75,36.05,35.29,35.66,9754246.0,normal,2026-01-01T03:44:30.208374Z,2025-11-26
SLB,1d,2025-11-25T00:00:00,35.82,35.95,35.01,35.9,13234500.0,normal,2026-01-01T03:44:30.208374Z,2025-11-25
SLB,1d,2025-11-24T00:00:00,36.0,36.08,35.3,35.71,36923802.0,normal,2026-01-01T03:44:30.208374Z,2025-11-24
SLB,1d,2025-11-21T00:00:00,35.17,36.33,34.65,36.19,20752833.0,normal,2026-01-01T03:44:30.208374Z,2025-11-21
SLB,1d,2025-11-20T00:00:00,36.21,36.84,35.09,35.19,11718218.0,normal,2026-01-01T03:44:30.208374Z,2025-11-20
SLB,1d,2025-11-19T00:00:00,35.38,36.13,35.12,35.86,9709737.0,normal,2026-01-01T03:44:30.208374Z,2025-11-19
SLB,1d,2025-11-18T00:00:00,35.43,36.23,35.28,36.04,15306211.0,normal,2026-01-01T03:44:30.208374Z,2025-11-18
SLB,1d,2025-11-17T00:00:00,36.82,36.93,35.61,35.8,10775748.0,normal,2026-01-01T03:44:30.208374Z,2025-11-17
SLB,1d,2025-11-14T00:00:00,36.44,37.34,35.88,36.94,10858344.0,normal,2026-01-01T03:44:30.208374Z,2025-11-14
SLB,1d,2025-11-13T00:00:00,36.22,36.94,36.08,36.31,10203959.0,normal,2026-01-01T03:44:30.208374Z,2025-11-13
SLB,1d,2025-11-12T00:00:00,37.3,37.55,36.0,36.07,11588118.0,normal,2026-01-01T03:44:30.208374Z,2025-11-12
SLB,1d,2025-11-11T00:00:00,37.2,38.08,37.11,37.61,10426200.0,normal,2026-01-01T03:44:30.208374Z,2025-11-11
SLB,1d,2025-11-10T00:00:00,36.88,37.05,36.11,36.91,12276000.0,normal,2026-01-01T03:44:30.208374Z,2025-11-10
SLB,1d,2025-11-07T00:00:00,36.48,36.8,35.89,36.66,11074700.0,normal,2026-01-01T03:44:30.208374Z,2025-11-07
SLB,1d,2025-11-06T00:00:00,36.66,37.21,36.34,36.36,14651311.0,normal,2026-01-01T03:44:30.208374Z,2025-11-06
SLB,1d,2025-11-05T00:00:00,36.25,37.03,35.96,36.55,14655332.0,normal,2026-01-01T03:44:30.208374Z,2025-11-05
SLB,1d,2025-11-04T00:00:00,36.32,36.46,35.78,36.12,18718800.0,normal,2026-01-01T03:44:30.208374Z,2025-11-04
SLB,1d,2025-11-03T00:00:00,36.1,37.31,36.03,37.02,19349000.0,normal,2026-01-01T03:44:30.208374Z,2025-11-03
SLB,1d,2025-10-31T00:00:00,36.26,36.53,35.78,36.06,15188522.0,normal,2026-01-01T03:44:30.208374Z,2025-10-31
SLB,1d,2025-10-30T00:00:00,36.68,37.05,36.28,36.32,15557600.0,normal,2026-01-01T03:44:30.208374Z,2025-10-30
SLB,1d,2025-10-29T00:00:00,35.92,36.95,35.79,36.83,16662800.0,normal,2026-01-01T03:44:30.208374Z,2025-10-29
SLB,1d,2025-10-28T00:00:00,36.18,36.33,35.69,35.86,12504633.0,normal,2026-01-01T03:44:30.208374Z,2025-10-28
SLB,1d,2025-10-27T00:00:00,36.17,36.83,35.89,36.16,17423204.0,normal,2026-01-01T03:44:30.208374Z,2025-10-27
SLB,1d,2025-10-24T00:00:00,36.1,36.64,35.8,35.83,17000600.0,normal,2026-01-01T03:44:30.208374Z,2025-10-24
SLB,1d,2025-10-23T00:00:00,35.65,36.09,34.98,36.01,19431500.0,normal,2026-01-01T03:44:30.208374Z,2025-10-23
SLB,1d,2025-10-22T00:00:00,34.09,35.23,34.0,34.9,18761400.0,normal,2026-01-01T03:44:30.208374Z,2025-10-22
SLB,1d,2025-10-21T00:00:00,33.72,33.98,33.12,33.52,18033418.0,normal,2026-01-01T03:44:30.208374Z,2025-10-21
SLB,1d,2025-10-20T00:00:00,32.95,33.48,32.5,33.43,17997803.0,normal,2026-01-01T03:44:30.208374Z,2025-10-20
SLB,1d,2025-10-17T00:00:00,32.7,33.26,31.64,32.63,39002931.0,normal,2026-01-01T03:44:30.208374Z,2025-10-17
