ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
SNA,1d,2025-12-15T00:00:00,353.1,354.62,350.49,351.95,208239.0,normal,2026-01-01T03:46:21.862214Z,2025-12-15
SNA,1d,2025-12-12T00:00:00,352.72,353.92,349.19,350.83,252900.0,normal,2026-01-01T03:46:21.862214Z,2025-12-12
SNA,1d,2025-12-11T00:00:00,350.39,353.99,348.38,351.49,350600.0,normal,2026-01-01T03:46:21.862214Z,2025-12-11
SNA,1d,2025-12-10T00:00:00,343.33,350.56,343.33,348.46,590301.0,normal,2026-01-01T03:46:21.862214Z,2025-12-10
SNA,1d,2025-12-09T00:00:00,347.58,349.61,342.75,342.87,312200.0,normal,2026-01-01T03:46:21.862214Z,2025-12-09
SNA,1d,2025-12-08T00:00:00,347.8,349.71,344.84,347.45,260329.0,normal,2026-01-01T03:46:21.862214Z,2025-12-08
SNA,1d,2025-12-05T00:00:00,343.71,348.17,342.97,347.21,194700.0,normal,2026-01-01T03:46:21.862214Z,2025-12-05
SNA,1d,2025-12-04T00:00:00,345.7,351.31,342.91,346.13,347900.0,normal,2026-01-01T03:46:21.862214Z,2025-12-04
SNA,1d,2025-12-03T00:00:00,341.37,345.3,340.07,344.34,241300.0,normal,2026-01-01T03:46:21.862214Z,2025-12-03
SNA,1d,2025-12-02T00:00:00,339.35,341.81,335.88,340.58,250500.0,normal,2026-01-01T03:46:21.862214Z,2025-12-02
SNA,1d,2025-12-01T00:00:00,336.34,342.12,336.34,338.47,290500.0,normal,2026-01-01T03:46:21.862214Z,2025-12-01
SNA,1d,2025-11-28T00:00:00,342.08,342.26,340.05,340.05,140400.0,normal,2026-01-01T03:46:21.862214Z,2025-11-28
SNA,1d,2025-11-26T00:00:00,339.3,342.52,339.3,340.56,231408.0,normal,2026-01-01T03:46:21.862214Z,2025-11-26
SNA,1d,2025-11-25T00:00:00,334.72,341.6,333.63,340.29,266300.0,normal,2026-01-01T03:46:21.862214Z,2025-11-25
SNA,1d,2025-11-24T00:00:00,334.86,337.91,331.63,333.02,405200.0,normal,2026-01-01T03:46:21.862214Z,2025-11-24
SNA,1d,2025-11-21T00:00:00,330.99,339.92,329.99,335.9,365300.0,normal,2026-01-01T03:46:21.862214Z,2025-11-21
SNA,1d,2025-11-20T00:00:00,333.7,336.02,328.14,331.22,337945.0,normal,2026-01-01T03:46:21.862214Z,2025-11-20
SNA,1d,2025-11-19T00:00:00,329.9,332.19,327.71,330.16,214134.0,normal,2026-01-01T03:46:21.862214Z,2025-11-19
SNA,1d,2025-11-18T00:00:00,327.41,331.66,320.8,329.9,359245.0,normal,2026-01-01T03:46:21.862214Z,2025-11-18
SNA,1d,2025-11-17T00:00:00,329.98,332.85,328.35,328.69,266242.0,normal,2026-01-01T03:46:21.862214Z,2025-11-17
SNA,1d,2025-11-14T00:00:00,332.73,334.69,329.29,329.98,266600.0,normal,2026-01-01T03:46:21.862214Z,2025-11-14
