ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
SO,1d,2025-12-09T00:00:00,86.0,86.36,85.44,85.49,6830136.0,normal,2025-12-10T10:50:27.394320Z,2025-12-09
SO,1d,2025-12-08T00:00:00,86.22,86.4,85.47,85.56,6726100.0,normal,2025-12-10T10:50:27.394320Z,2025-12-08
SO,1d,2025-12-05T00:00:00,87.44,88.09,86.15,86.28,7255576.0,normal,2025-12-10T10:50:27.394320Z,2025-12-05
SO,1d,2025-12-04T00:00:00,87.74,88.62,86.96,87.33,7652171.0,normal,2025-12-10T10:50:27.394320Z,2025-12-04
SO,1d,2025-12-03T00:00:00,89.23,90.34,87.07,87.98,10934436.0,normal,2025-12-10T10:50:27.394320Z,2025-12-03
SO,1d,2025-12-02T00:00:00,89.29,89.3,88.32,89.04,5825600.0,normal,2025-12-10T10:50:27.394320Z,2025-12-02
SO,1d,2025-12-01T00:00:00,90.62,90.75,88.99,89.01,5749279.0,normal,2025-12-10T10:50:27.394320Z,2025-12-01
SO,1d,2025-11-28T00:00:00,90.39,91.12,90.26,91.12,2548715.0,normal,2025-12-10T10:50:27.394320Z,2025-11-28
SO,1d,2025-11-26T00:00:00,89.74,90.4,89.54,90.24,3490432.0,normal,2025-12-10T10:50:27.394320Z,2025-11-26
SO,1d,2025-11-25T00:00:00,89.0,89.53,88.62,89.29,5363600.0,normal,2025-12-10T10:50:27.394320Z,2025-11-25
SO,1d,2025-11-24T00:00:00,89.59,89.72,88.2,89.14,6045200.0,normal,2025-12-10T10:50:27.394320Z,2025-11-24
SO,1d,2025-11-21T00:00:00,88.69,90.06,88.5,89.27,6435046.0,normal,2025-12-10T10:50:27.394320Z,2025-11-21
SO,1d,2025-11-20T00:00:00,89.23,89.5,88.43,88.57,7947400.0,normal,2025-12-10T10:50:27.394320Z,2025-11-20
SO,1d,2025-11-19T00:00:00,90.78,90.81,88.9,89.05,5014600.0,normal,2025-12-10T10:50:27.394320Z,2025-11-19
SO,1d,2025-11-18T00:00:00,91.04,91.41,90.53,90.69,4992792.0,normal,2025-12-10T10:50:27.394320Z,2025-11-18
SO,1d,2025-11-17T00:00:00,90.49,90.97,90.14,90.58,5709292.0,normal,2025-12-10T10:50:27.394320Z,2025-11-17
SO,1d,2025-11-14T00:00:00,91.3,91.62,90.3,90.69,4613600.0,normal,2025-12-10T10:50:27.394320Z,2025-11-14
SO,1d,2025-11-13T00:00:00,92.0,92.38,91.08,91.17,5696456.0,normal,2025-12-10T10:50:27.394320Z,2025-11-13
SO,1d,2025-11-12T00:00:00,91.17,92.02,90.88,91.89,5588400.0,normal,2025-12-10T10:50:27.394320Z,2025-11-12
SO,1d,2025-11-11T00:00:00,90.91,91.45,90.55,91.14,3885434.0,normal,2025-12-10T10:50:27.394320Z,2025-11-11
SO,1d,2025-11-10T00:00:00,91.17,91.35,89.96,90.76,6177971.0,normal,2025-12-10T10:50:27.394320Z,2025-11-10
SO,1d,2025-11-07T00:00:00,91.16,91.91,90.86,91.44,4769726.0,normal,2025-12-10T10:50:27.394320Z,2025-11-07
SO,1d,2025-11-06T00:00:00,91.0,92.05,90.86,90.9,4916221.0,normal,2025-12-10T10:50:27.394320Z,2025-11-06
SO,1d,2025-11-05T00:00:00,91.32,92.23,90.5,91.41,12553167.0,normal,2025-12-10T10:50:27.394320Z,2025-11-05
SO,1d,2025-11-04T00:00:00,93.15,93.51,92.41,92.73,12289383.0,normal,2025-12-10T10:50:27.394320Z,2025-11-04
SO,1d,2025-11-03T00:00:00,93.57,95.09,92.18,93.15,14019362.0,normal,2025-12-10T10:50:27.394320Z,2025-11-03
SO,1d,2025-10-31T00:00:00,94.48,94.68,93.6,94.04,5432527.0,normal,2025-12-10T10:50:27.394320Z,2025-10-31
SO,1d,2025-10-30T00:00:00,93.06,95.52,93.06,95.07,7421400.0,normal,2025-12-10T10:50:27.394320Z,2025-10-30
SO,1d,2025-10-29T00:00:00,93.57,94.39,92.85,93.51,6431287.0,normal,2025-12-10T10:50:27.394320Z,2025-10-29
SO,1d,2025-10-28T00:00:00,95.1,95.24,93.32,93.91,6012811.0,normal,2025-12-10T10:50:27.394320Z,2025-10-28
SO,1d,2025-10-27T00:00:00,95.7,95.7,94.78,95.4,4019740.0,normal,2025-12-10T10:50:27.394320Z,2025-10-27
SO,1d,2025-10-24T00:00:00,96.26,96.61,95.84,95.88,4353320.0,normal,2025-12-10T10:50:27.394320Z,2025-10-24
SO,1d,2025-10-23T00:00:00,97.87,98.0,96.12,96.15,3194666.0,normal,2025-12-10T10:50:27.394320Z,2025-10-23
SO,1d,2025-10-22T00:00:00,96.98,98.11,96.44,97.48,3438254.0,normal,2025-12-10T10:50:27.394320Z,2025-10-22
SO,1d,2025-10-21T00:00:00,98.21,98.29,96.53,97.0,4582928.0,normal,2025-12-10T10:50:27.394320Z,2025-10-21
SO,1d,2025-10-20T00:00:00,98.4,98.41,97.34,97.69,5045062.0,normal,2025-12-10T10:50:27.394320Z,2025-10-20
SO,1d,2025-10-17T00:00:00,99.12,99.15,97.61,97.8,4916360.0,normal,2025-12-10T10:50:27.394320Z,2025-10-17
SO,1d,2025-10-16T00:00:00,100.12,100.84,98.38,98.43,4927361.0,normal,2025-12-10T10:50:27.394320Z,2025-10-16
SO,1d,2025-10-15T00:00:00,99.6,100.24,99.17,99.72,7287400.0,normal,2025-12-10T10:50:27.394320Z,2025-10-15
SO,1d,2025-10-14T00:00:00,98.7,99.81,98.46,99.68,5343034.0,normal,2025-12-10T10:50:27.394320Z,2025-10-14
SO,1d,2025-10-13T00:00:00,97.62,98.42,97.19,98.08,4262222.0,normal,2025-12-10T10:50:27.394320Z,2025-10-13
SO,1d,2025-10-10T00:00:00,96.66,98.36,96.45,98.29,5296781.0,normal,2025-12-10T10:50:27.394320Z,2025-10-10
SO,1d,2025-10-09T00:00:00,96.66,96.66,96.01,96.13,4113973.0,normal,2025-12-10T10:50:27.394320Z,2025-10-09
SO,1d,2025-10-08T00:00:00,96.79,96.79,95.5,96.18,3700746.0,normal,2025-12-10T10:50:27.394320Z,2025-10-08
SO,1d,2025-10-07T00:00:00,95.49,96.77,95.3,96.42,5607700.0,normal,2025-12-10T10:50:27.394320Z,2025-10-07
SO,1d,2025-10-06T00:00:00,94.43,95.53,94.4,95.49,4870200.0,normal,2025-12-10T10:50:27.394320Z,2025-10-06
SO,1d,2025-10-03T00:00:00,93.5,94.85,93.5,94.54,6022128.0,normal,2025-12-10T10:50:27.394320Z,2025-10-03
SO,1d,2025-10-02T00:00:00,94.18,94.53,93.53,93.89,4436213.0,normal,2025-12-10T10:50:27.394320Z,2025-10-02
SO,1d,2025-10-01T00:00:00,94.92,95.38,94.61,94.8,4625938.0,normal,2025-12-10T10:50:27.394320Z,2025-10-01
SO,1d,2025-09-30T00:00:00,93.83,95.03,93.64,94.77,7481606.0,normal,2025-12-10T10:50:27.394320Z,2025-09-30
SO,1d,2025-09-29T00:00:00,94.5,94.53,93.45,93.91,8002685.0,normal,2025-12-10T10:50:27.394320Z,2025-09-29
SO,1d,2025-09-26T00:00:00,94.08,94.67,93.83,94.53,5203418.0,normal,2025-12-10T10:50:27.394320Z,2025-09-26
SO,1d,2025-09-25T00:00:00,94.59,95.06,93.58,93.69,6968487.0,normal,2025-12-10T10:50:27.394320Z,2025-09-25
SO,1d,2025-09-24T00:00:00,93.61,94.44,93.16,94.41,4826500.0,normal,2025-12-10T10:50:27.394320Z,2025-09-24
SO,1d,2025-09-23T00:00:00,92.3,93.72,92.11,93.72,4413517.0,normal,2025-12-10T10:50:27.394320Z,2025-09-23
SO,1d,2025-09-22T00:00:00,91.88,92.58,91.63,92.33,5569684.0,normal,2025-12-10T10:50:27.394320Z,2025-09-22
SO,1d,2025-09-19T00:00:00,91.04,92.3,90.35,91.8,9381500.0,normal,2025-12-10T10:50:27.394320Z,2025-09-19
SO,1d,2025-09-18T00:00:00,90.77,91.88,90.71,91.45,6074244.0,normal,2025-12-10T10:50:27.394320Z,2025-09-18
SO,1d,2025-09-17T00:00:00,91.59,92.06,91.4,91.63,5065224.0,normal,2025-12-10T10:50:27.394320Z,2025-09-17
SO,1d,2025-09-16T00:00:00,92.1,92.32,91.35,91.36,6625700.0,normal,2025-12-10T10:50:27.394320Z,2025-09-16
SO,1d,2025-09-15T00:00:00,92.01,92.4,91.56,92.28,3922371.0,normal,2025-12-10T10:50:27.394320Z,2025-09-15
SO,1d,2025-09-12T00:00:00,91.88,92.44,91.72,92.27,4076346.0,normal,2025-12-10T10:50:27.394320Z,2025-09-12
SO,1d,2025-09-11T00:00:00,91.55,92.14,91.22,92.13,3701904.0,normal,2025-12-10T10:50:27.394320Z,2025-09-11
SO,1d,2025-09-10T00:00:00,91.1,91.67,90.72,91.56,4309826.0,normal,2025-12-10T10:50:27.394320Z,2025-09-10
SO,1d,2025-09-09T00:00:00,90.68,91.5,90.53,91.21,2889784.0,normal,2025-12-10T10:50:27.394320Z,2025-09-09
SO,1d,2025-09-08T00:00:00,91.43,91.85,90.59,90.83,3712021.0,normal,2025-12-10T10:50:27.394320Z,2025-09-08
SO,1d,2025-09-05T00:00:00,91.98,92.38,91.55,91.78,3166440.0,normal,2025-12-10T10:50:27.394320Z,2025-09-05
SO,1d,2025-09-04T00:00:00,92.24,92.44,91.43,91.87,3468707.0,normal,2025-12-10T10:50:27.394320Z,2025-09-04
SO,1d,2025-09-03T00:00:00,91.64,91.97,91.17,91.66,3481101.0,normal,2025-12-10T10:50:27.394320Z,2025-09-03
SO,1d,2025-09-02T00:00:00,92.24,92.82,91.63,92.09,3467500.0,normal,2025-12-10T10:50:27.394320Z,2025-09-02
SO,1d,2025-08-29T00:00:00,92.47,92.81,92.22,92.3,3227616.0,normal,2025-12-10T10:50:27.394320Z,2025-08-29
SO,1d,2025-08-28T00:00:00,93.04,93.04,92.07,92.24,2797437.0,normal,2025-12-10T10:50:27.394320Z,2025-08-28
SO,1d,2025-08-27T00:00:00,93.19,93.46,92.81,93.28,3090158.0,normal,2025-12-10T10:50:27.394320Z,2025-08-27
SO,1d,2025-08-26T00:00:00,93.15,93.5,92.49,93.09,3699643.0,normal,2025-12-10T10:50:27.394320Z,2025-08-26
SO,1d,2025-08-25T00:00:00,94.23,94.49,92.99,93.13,2559639.0,normal,2025-12-10T10:50:27.394320Z,2025-08-25
SO,1d,2025-08-22T00:00:00,95.06,95.5,94.08,94.48,3304940.0,normal,2025-12-10T10:50:27.394320Z,2025-08-22
SO,1d,2025-08-21T00:00:00,94.96,95.18,94.36,94.62,3294411.0,normal,2025-12-10T10:50:27.394320Z,2025-08-21
SO,1d,2025-08-20T00:00:00,94.5,95.64,94.33,94.93,5556630.0,normal,2025-12-10T10:50:27.394320Z,2025-08-20
SO,1d,2025-08-19T00:00:00,92.88,94.22,92.84,94.18,4691215.0,normal,2025-12-10T10:50:27.394320Z,2025-08-19
SO,1d,2025-08-18T00:00:00,93.58,93.64,92.77,92.85,5070536.0,normal,2025-12-10T10:50:27.394320Z,2025-08-18
SO,1d,2025-08-15T00:00:00,94.33,94.76,93.63,94.07,5698546.0,normal,2025-12-10T10:50:27.394320Z,2025-08-15
