ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
SWKS,1d,2025-12-15T00:00:00,67.63,68.11,66.16,66.37,2429122.0,normal,2026-01-01T03:49:42.490287Z,2025-12-15
SWKS,1d,2025-12-12T00:00:00,68.22,68.81,66.6,66.97,3372908.0,normal,2026-01-01T03:49:42.490287Z,2025-12-12
SWKS,1d,2025-12-11T00:00:00,68.32,68.52,67.09,68.25,2158328.0,normal,2026-01-01T03:49:42.490287Z,2025-12-11
SWKS,1d,2025-12-10T00:00:00,68.19,69.58,67.72,68.8,2115797.0,normal,2026-01-01T03:49:42.490287Z,2025-12-10
SWKS,1d,2025-12-09T00:00:00,68.8,69.45,68.04,68.54,2468400.0,normal,2026-01-01T03:49:42.490287Z,2025-12-09
SWKS,1d,2025-12-08T00:00:00,69.39,70.31,68.61,69.21,2583700.0,normal,2026-01-01T03:49:42.490287Z,2025-12-08
SWKS,1d,2025-12-05T00:00:00,68.95,70.1,68.47,69.32,2415749.0,normal,2026-01-01T03:49:42.490287Z,2025-12-05
SWKS,1d,2025-12-04T00:00:00,69.32,69.77,68.57,69.01,1937613.0,normal,2026-01-01T03:49:42.490287Z,2025-12-04
SWKS,1d,2025-12-03T00:00:00,68.42,70.26,68.14,69.37,2413652.0,normal,2026-01-01T03:49:42.490287Z,2025-12-03
SWKS,1d,2025-12-02T00:00:00,66.23,68.53,65.44,68.24,2954147.0,normal,2026-01-01T03:49:42.490287Z,2025-12-02
SWKS,1d,2025-12-01T00:00:00,65.45,66.56,65.11,65.83,2426747.0,normal,2026-01-01T03:49:42.490287Z,2025-12-01
SWKS,1d,2025-11-28T00:00:00,65.33,66.01,64.85,65.95,1140045.0,normal,2026-01-01T03:49:42.490287Z,2025-11-28
SWKS,1d,2025-11-26T00:00:00,63.6,66.36,63.6,65.34,2966979.0,normal,2026-01-01T03:49:42.490287Z,2025-11-26
SWKS,1d,2025-11-25T00:00:00,63.02,63.83,62.28,63.51,2579536.0,normal,2026-01-01T03:49:42.490287Z,2025-11-25
SWKS,1d,2025-11-24T00:00:00,63.2,63.79,62.24,63.05,3036100.0,normal,2026-01-01T03:49:42.490287Z,2025-11-24
SWKS,1d,2025-11-21T00:00:00,60.84,63.32,60.41,62.61,3928822.0,normal,2026-01-01T03:49:42.490287Z,2025-11-21
SWKS,1d,2025-11-20T00:00:00,63.28,63.67,60.06,60.5,3775680.0,normal,2026-01-01T03:49:42.490287Z,2025-11-20
SWKS,1d,2025-11-19T00:00:00,62.55,63.44,61.65,62.59,3180316.0,normal,2026-01-01T03:49:42.490287Z,2025-11-19
SWKS,1d,2025-11-18T00:00:00,62.06,63.31,61.71,62.32,3130800.0,normal,2026-01-01T03:49:42.490287Z,2025-11-18
SWKS,1d,2025-11-17T00:00:00,66.0,66.32,62.24,63.16,3997617.0,normal,2026-01-01T03:49:42.490287Z,2025-11-17
SWKS,1d,2025-11-14T00:00:00,67.24,68.02,66.43,66.6,2258100.0,normal,2026-01-01T03:49:42.490287Z,2025-11-14
SWKS,1d,2025-11-13T00:00:00,69.41,70.31,67.82,68.17,3078500.0,normal,2026-01-01T03:49:42.490287Z,2025-11-13
SWKS,1d,2025-11-12T00:00:00,69.62,70.03,68.83,69.46,2552400.0,normal,2026-01-01T03:49:42.490287Z,2025-11-12
SWKS,1d,2025-11-11T00:00:00,69.46,70.48,68.45,68.85,2988162.0,normal,2026-01-01T03:49:42.490287Z,2025-11-11
SWKS,1d,2025-11-10T00:00:00,70.69,70.74,68.19,69.1,3298835.0,normal,2026-01-01T03:49:42.490287Z,2025-11-10
SWKS,1d,2025-11-07T00:00:00,69.49,69.69,67.55,69.58,3200717.0,normal,2026-01-01T03:49:42.490287Z,2025-11-07
SWKS,1d,2025-11-06T00:00:00,73.58,74.21,70.26,70.64,3585478.0,normal,2026-01-01T03:49:42.490287Z,2025-11-06
SWKS,1d,2025-11-05T00:00:00,73.87,75.65,71.39,73.46,5613116.0,normal,2026-01-01T03:49:42.490287Z,2025-11-05
SWKS,1d,2025-11-04T00:00:00,74.99,75.75,71.66,71.99,5593300.0,normal,2026-01-01T03:49:42.490287Z,2025-11-04
SWKS,1d,2025-11-03T00:00:00,77.57,78.0,76.08,76.54,3824400.0,normal,2026-01-01T03:49:42.490287Z,2025-11-03
SWKS,1d,2025-10-31T00:00:00,79.04,80.0,76.8,77.72,3872749.0,normal,2026-01-01T03:49:42.490287Z,2025-10-31
SWKS,1d,2025-10-30T00:00:00,78.74,81.12,78.49,79.16,3924000.0,normal,2026-01-01T03:49:42.490287Z,2025-10-30
SWKS,1d,2025-10-29T00:00:00,83.14,84.53,78.59,78.74,7443149.0,normal,2026-01-01T03:49:42.490287Z,2025-10-29
SWKS,1d,2025-10-28T00:00:00,85.66,90.9,80.14,80.26,11143942.0,normal,2026-01-01T03:49:42.490287Z,2025-10-28
SWKS,1d,2025-10-27T00:00:00,74.67,76.01,74.5,75.84,1853343.0,normal,2026-01-01T03:49:42.490287Z,2025-10-27
SWKS,1d,2025-10-24T00:00:00,76.51,76.51,73.96,74.04,2067410.0,normal,2026-01-01T03:49:42.490287Z,2025-10-24
SWKS,1d,2025-10-23T00:00:00,73.51,76.26,73.33,75.78,2130752.0,normal,2026-01-01T03:49:42.490287Z,2025-10-23
SWKS,1d,2025-10-22T00:00:00,75.4,76.49,73.06,73.97,2911548.0,normal,2026-01-01T03:49:42.490287Z,2025-10-22
SWKS,1d,2025-10-21T00:00:00,75.71,76.66,75.41,76.4,1146569.0,normal,2026-01-01T03:49:42.490287Z,2025-10-21
SWKS,1d,2025-10-20T00:00:00,74.0,76.85,72.78,76.14,2161052.0,normal,2026-01-01T03:49:42.490287Z,2025-10-20
SWKS,1d,2025-10-17T00:00:00,73.57,75.65,73.02,75.32,1654199.0,normal,2026-01-01T03:49:42.490287Z,2025-10-17
SWKS,1d,2025-10-16T00:00:00,74.73,74.83,73.3,74.47,2050372.0,normal,2026-01-01T03:49:42.490287Z,2025-10-16
