ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
SYF,1d,2025-12-09T00:00:00,79.79,81.43,79.39,81.01,3172563.0,normal,2025-12-10T10:33:07.296670Z,2025-12-09
SYF,1d,2025-12-08T00:00:00,80.68,80.98,79.69,79.78,3920700.0,normal,2025-12-10T10:33:07.296670Z,2025-12-08
SYF,1d,2025-12-05T00:00:00,79.38,80.65,79.22,80.36,2620735.0,normal,2025-12-10T10:33:07.296670Z,2025-12-05
SYF,1d,2025-12-04T00:00:00,79.18,80.65,79.15,80.4,2121400.0,normal,2025-12-10T10:33:07.296670Z,2025-12-04
SYF,1d,2025-12-03T00:00:00,78.77,80.4,78.71,79.15,3705220.0,normal,2025-12-10T10:33:07.296670Z,2025-12-03
SYF,1d,2025-12-02T00:00:00,78.55,79.18,77.64,78.88,2381179.0,normal,2025-12-10T10:33:07.296670Z,2025-12-02
SYF,1d,2025-12-01T00:00:00,76.96,78.4,76.15,78.05,3366164.0,normal,2025-12-10T10:33:07.296670Z,2025-12-01
SYF,1d,2025-11-28T00:00:00,77.34,77.91,76.9,77.36,923600.0,normal,2025-12-10T10:33:07.296670Z,2025-11-28
SYF,1d,2025-11-26T00:00:00,76.44,77.55,76.27,76.95,1938827.0,normal,2025-12-10T10:33:07.296670Z,2025-11-26
SYF,1d,2025-11-25T00:00:00,74.98,76.91,74.74,76.51,2648600.0,normal,2025-12-10T10:33:07.296670Z,2025-11-25
SYF,1d,2025-11-24T00:00:00,74.59,75.21,73.93,74.52,7559200.0,normal,2025-12-10T10:33:07.296670Z,2025-11-24
SYF,1d,2025-11-21T00:00:00,72.78,75.46,72.51,74.62,4040325.0,normal,2025-12-10T10:33:07.296670Z,2025-11-21
SYF,1d,2025-11-20T00:00:00,73.97,75.28,72.17,72.25,5452350.0,normal,2025-12-10T10:33:07.296670Z,2025-11-20
SYF,1d,2025-11-19T00:00:00,71.61,72.74,71.48,72.55,5567700.0,normal,2025-12-10T10:33:07.296670Z,2025-11-19
SYF,1d,2025-11-18T00:00:00,69.63,72.13,69.52,71.22,4652424.0,normal,2025-12-10T10:33:07.296670Z,2025-11-18
SYF,1d,2025-11-17T00:00:00,72.8,73.07,69.89,70.47,3708580.0,normal,2025-12-10T10:33:07.296670Z,2025-11-17
SYF,1d,2025-11-14T00:00:00,73.0,73.94,72.1,73.09,3144900.0,normal,2025-12-10T10:33:07.296670Z,2025-11-14
SYF,1d,2025-11-13T00:00:00,74.73,75.52,73.71,73.79,3980833.0,normal,2025-12-10T10:33:07.296670Z,2025-11-13
SYF,1d,2025-11-12T00:00:00,74.3,76.11,74.3,75.49,2756440.0,normal,2025-12-10T10:33:07.296670Z,2025-11-12
SYF,1d,2025-11-11T00:00:00,74.58,75.03,73.89,74.42,2231100.0,normal,2025-12-10T10:33:07.296670Z,2025-11-11
SYF,1d,2025-11-10T00:00:00,73.7,74.79,73.31,74.7,3135000.0,normal,2025-12-10T10:33:07.296670Z,2025-11-10
SYF,1d,2025-11-07T00:00:00,73.06,73.61,72.05,73.19,3710600.0,normal,2025-12-10T10:33:07.296670Z,2025-11-07
SYF,1d,2025-11-06T00:00:00,74.47,75.24,73.08,73.55,3940640.0,normal,2025-12-10T10:33:07.296670Z,2025-11-06
SYF,1d,2025-11-05T00:00:00,72.91,75.09,71.85,74.37,3501461.0,normal,2025-12-10T10:33:07.296670Z,2025-11-05
SYF,1d,2025-11-04T00:00:00,73.2,74.39,73.1,73.3,3353922.0,normal,2025-12-10T10:33:07.296670Z,2025-11-04
SYF,1d,2025-11-03T00:00:00,74.02,74.77,73.52,74.01,3684800.0,normal,2025-12-10T10:33:07.296670Z,2025-11-03
SYF,1d,2025-10-31T00:00:00,73.53,74.99,73.25,74.38,2986800.0,normal,2025-12-10T10:33:07.296670Z,2025-10-31
