ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
SYY,1d,2025-12-24T00:00:00,74.14,74.43,73.9,74.25,956100.0,normal,2025-12-26T07:00:56.226515Z,2025-12-24
SYY,1d,2025-12-23T00:00:00,74.48,74.65,73.73,73.99,2111247.0,normal,2025-12-26T07:00:56.226515Z,2025-12-23
SYY,1d,2025-12-22T00:00:00,74.17,74.81,73.99,74.58,2010100.0,normal,2025-12-26T07:00:56.226515Z,2025-12-22
SYY,1d,2025-12-19T00:00:00,75.14,75.25,74.49,74.49,5962522.0,normal,2025-12-26T07:00:56.226515Z,2025-12-19
SYY,1d,2025-12-18T00:00:00,75.72,76.01,74.88,75.07,3753700.0,normal,2025-12-26T07:00:56.226515Z,2025-12-18
SYY,1d,2025-12-17T00:00:00,75.21,75.94,75.05,75.75,2271093.0,normal,2025-12-26T07:00:56.226515Z,2025-12-17
SYY,1d,2025-12-16T00:00:00,75.87,76.09,74.87,75.12,2931255.0,normal,2025-12-26T07:00:56.226515Z,2025-12-16
SYY,1d,2025-12-15T00:00:00,74.61,76.63,74.34,75.43,3268400.0,normal,2025-12-26T07:00:56.226515Z,2025-12-15
SYY,1d,2025-12-12T00:00:00,74.24,74.55,73.83,74.34,2195442.0,normal,2025-12-26T07:00:56.226515Z,2025-12-12
SYY,1d,2025-12-11T00:00:00,73.88,74.54,73.52,74.23,3015404.0,normal,2025-12-26T07:00:56.226515Z,2025-12-11
SYY,1d,2025-12-10T00:00:00,72.7,73.6192,72.45,73.58,1862728.0,normal,2025-12-26T07:00:56.226515Z,2025-12-10
SYY,1d,2025-12-09T00:00:00,72.65,73.43,72.55,72.59,3585200.0,normal,2025-12-26T07:00:56.226515Z,2025-12-09
SYY,1d,2025-12-08T00:00:00,73.13,73.35,72.26,72.71,2661201.0,normal,2025-12-26T07:00:56.226515Z,2025-12-08
SYY,1d,2025-12-05T00:00:00,73.25,73.94,73.07,73.1,3181500.0,normal,2025-12-26T07:00:56.226515Z,2025-12-05
SYY,1d,2025-12-04T00:00:00,73.82,74.1,73.0,73.44,3072300.0,normal,2025-12-26T07:00:56.226515Z,2025-12-04
SYY,1d,2025-12-03T00:00:00,74.64,75.26,73.31,73.36,3753872.0,normal,2025-12-26T07:00:56.226515Z,2025-12-03
SYY,1d,2025-12-02T00:00:00,75.61,75.66,73.87,74.44,4761363.0,normal,2025-12-26T07:00:56.226515Z,2025-12-02
SYY,1d,2025-12-01T00:00:00,75.92,76.31,75.31,75.91,3748700.0,normal,2025-12-26T07:00:56.226515Z,2025-12-01
SYY,1d,2025-11-28T00:00:00,75.73,76.8,75.48,76.2,1825200.0,normal,2025-12-26T07:00:56.226515Z,2025-11-28
SYY,1d,2025-11-26T00:00:00,75.85,76.48,75.69,75.9,3219600.0,normal,2025-12-26T07:00:56.226515Z,2025-11-26
SYY,1d,2025-11-25T00:00:00,75.03,76.29,75.03,75.91,3981014.0,normal,2025-12-26T07:00:56.226515Z,2025-11-25
SYY,1d,2025-11-24T00:00:00,76.2,76.53,74.2,74.7,4249300.0,normal,2025-12-26T07:00:56.226515Z,2025-11-24
SYY,1d,2025-11-21T00:00:00,75.98,77.46,75.71,76.63,3416000.0,normal,2025-12-26T07:00:56.226515Z,2025-11-21
SYY,1d,2025-11-20T00:00:00,75.88,76.26,75.13,75.48,2824490.0,normal,2025-12-26T07:00:56.226515Z,2025-11-20
SYY,1d,2025-11-19T00:00:00,75.94,76.09,75.14,75.73,2362761.0,normal,2025-12-26T07:00:56.226515Z,2025-11-19
SYY,1d,2025-11-18T00:00:00,75.6,76.12,75.2,75.9,2619500.0,normal,2025-12-26T07:00:56.226515Z,2025-11-18
SYY,1d,2025-11-17T00:00:00,75.36,75.71,74.76,75.13,3167483.0,normal,2025-12-26T07:00:56.226515Z,2025-11-17
SYY,1d,2025-11-14T00:00:00,75.3,75.75,74.26,74.71,2542903.0,normal,2025-12-26T07:00:56.226515Z,2025-11-14
