ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
TAP,1d,2025-12-15T00:00:00,47.61,47.81,45.12,47.67,3660100.0,normal,2026-01-01T03:50:15.607000Z,2025-12-15
TAP,1d,2025-12-12T00:00:00,47.25,47.7,47.17,47.6,2274624.0,normal,2026-01-01T03:50:15.607000Z,2025-12-12
TAP,1d,2025-12-11T00:00:00,47.02,47.67,46.98,47.06,2403631.0,normal,2026-01-01T03:50:15.607000Z,2025-12-11
TAP,1d,2025-12-10T00:00:00,45.61,46.89,45.28,46.85,4316037.0,normal,2026-01-01T03:50:15.607000Z,2025-12-10
TAP,1d,2025-12-09T00:00:00,46.52,46.78,45.0,45.22,2752064.0,normal,2026-01-01T03:50:15.607000Z,2025-12-09
TAP,1d,2025-12-08T00:00:00,45.2,46.79,44.88,46.62,4842800.0,normal,2026-01-01T03:50:15.607000Z,2025-12-08
TAP,1d,2025-12-05T00:00:00,45.0,45.62,44.96,45.13,2882906.0,normal,2026-01-01T03:50:15.607000Z,2025-12-05
TAP,1d,2025-12-04T00:00:00,46.1,46.64,45.42,45.57,2897480.0,normal,2026-01-01T03:50:15.607000Z,2025-12-04
TAP,1d,2025-12-03T00:00:00,46.34,47.13,46.2,46.24,4535041.0,normal,2026-01-01T03:50:15.607000Z,2025-12-03
TAP,1d,2025-12-02T00:00:00,46.68,46.77,45.86,46.5,5180400.0,normal,2026-01-01T03:50:15.607000Z,2025-12-02
TAP,1d,2025-12-01T00:00:00,46.45,47.28,46.3,46.91,3004800.0,normal,2026-01-01T03:50:15.607000Z,2025-12-01
TAP,1d,2025-11-28T00:00:00,46.52,46.83,46.39,46.51,1517308.0,normal,2026-01-01T03:50:15.607000Z,2025-11-28
TAP,1d,2025-11-26T00:00:00,46.29,47.1,46.2,46.61,2860005.0,normal,2026-01-01T03:50:15.607000Z,2025-11-26
TAP,1d,2025-11-25T00:00:00,46.68,47.28,46.22,46.39,3789100.0,normal,2026-01-01T03:50:15.607000Z,2025-11-25
TAP,1d,2025-11-24T00:00:00,45.87,46.7,45.34,46.23,18871200.0,normal,2026-01-01T03:50:15.607000Z,2025-11-24
TAP,1d,2025-11-21T00:00:00,45.78,46.6,45.52,46.11,4134146.0,normal,2026-01-01T03:50:15.607000Z,2025-11-21
TAP,1d,2025-11-20T00:00:00,45.14,45.99,45.08,45.47,2456237.0,normal,2026-01-01T03:50:15.607000Z,2025-11-20
TAP,1d,2025-11-19T00:00:00,45.77,46.31,45.19,45.27,2982363.0,normal,2026-01-01T03:50:15.607000Z,2025-11-19
TAP,1d,2025-11-18T00:00:00,45.93,46.71,45.5,46.45,2987600.0,normal,2026-01-01T03:50:15.607000Z,2025-11-18
TAP,1d,2025-11-17T00:00:00,46.34,46.7,45.61,45.62,3771329.0,normal,2026-01-01T03:50:15.607000Z,2025-11-17
TAP,1d,2025-11-14T00:00:00,46.95,47.25,45.85,46.44,2776700.0,normal,2026-01-01T03:50:15.607000Z,2025-11-14
TAP,1d,2025-11-13T00:00:00,46.0,47.3,45.82,46.88,4230400.0,normal,2026-01-01T03:50:15.607000Z,2025-11-13
TAP,1d,2025-11-12T00:00:00,47.55,47.87,45.94,45.97,4112950.0,normal,2026-01-01T03:50:15.607000Z,2025-11-12
TAP,1d,2025-11-11T00:00:00,47.03,47.76,46.22,47.16,2889000.0,normal,2026-01-01T03:50:15.607000Z,2025-11-11
TAP,1d,2025-11-10T00:00:00,46.39,47.08,46.27,46.84,2972532.0,normal,2026-01-01T03:50:15.607000Z,2025-11-10
