ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
TEL,1d,2025-12-09T00:00:00,234.84,236.47,234.08,236.2,1406804.0,normal,2025-12-10T10:35:36.649765Z,2025-12-09
TEL,1d,2025-12-08T00:00:00,235.98,237.7,233.27,233.98,1525648.0,normal,2025-12-10T10:35:36.649765Z,2025-12-08
TEL,1d,2025-12-05T00:00:00,233.56,235.59,231.95,234.36,1810438.0,normal,2025-12-10T10:35:36.649765Z,2025-12-05
TEL,1d,2025-12-04T00:00:00,230.7,234.06,229.88,233.41,1640680.0,normal,2025-12-10T10:35:36.649765Z,2025-12-04
TEL,1d,2025-12-03T00:00:00,228.82,231.26,226.37,230.8,2339200.0,normal,2025-12-10T10:35:36.649765Z,2025-12-03
TEL,1d,2025-12-02T00:00:00,228.46,230.32,226.37,229.55,2968840.0,normal,2025-12-10T10:35:36.649765Z,2025-12-02
TEL,1d,2025-12-01T00:00:00,224.96,227.25,221.33,225.75,1921284.0,normal,2025-12-10T10:35:36.649765Z,2025-12-01
TEL,1d,2025-11-28T00:00:00,226.4,227.64,225.07,226.15,611622.0,normal,2025-12-10T10:35:36.649765Z,2025-11-28
TEL,1d,2025-11-26T00:00:00,222.26,226.94,222.26,224.73,1533005.0,normal,2025-12-10T10:35:36.649765Z,2025-11-26
TEL,1d,2025-11-25T00:00:00,222.44,224.18,219.42,222.26,1583035.0,normal,2025-12-10T10:35:36.649765Z,2025-11-25
TEL,1d,2025-11-24T00:00:00,219.96,222.3,218.85,220.23,3841731.0,normal,2025-12-10T10:35:36.649765Z,2025-11-24
TEL,1d,2025-11-21T00:00:00,214.2,220.92,213.56,218.93,2760396.0,normal,2025-12-10T10:35:36.649765Z,2025-11-21
TEL,1d,2025-11-20T00:00:00,238.5,239.36,213.88,214.49,4106729.0,normal,2025-12-10T10:35:36.649765Z,2025-11-20
TEL,1d,2025-11-19T00:00:00,230.88,235.83,230.0,233.04,1621450.0,normal,2025-12-10T10:35:36.649765Z,2025-11-19
TEL,1d,2025-11-18T00:00:00,232.99,233.7,229.86,231.54,2217621.0,normal,2025-12-10T10:35:36.649765Z,2025-11-18
TEL,1d,2025-11-17T00:00:00,236.57,238.92,232.49,234.21,1855141.0,normal,2025-12-10T10:35:36.649765Z,2025-11-17
TEL,1d,2025-11-14T00:00:00,232.92,240.52,230.59,237.33,2006180.0,normal,2025-12-10T10:35:36.649765Z,2025-11-14
TEL,1d,2025-11-13T00:00:00,244.26,245.43,235.3,236.28,2018400.0,normal,2025-12-10T10:35:36.649765Z,2025-11-13
TEL,1d,2025-11-12T00:00:00,247.31,249.53,246.3,246.32,2449940.0,normal,2025-12-10T10:35:36.649765Z,2025-11-12
TEL,1d,2025-11-11T00:00:00,246.5,247.48,245.04,247.16,1556640.0,normal,2025-12-10T10:35:36.649765Z,2025-11-11
TEL,1d,2025-11-10T00:00:00,245.5,249.04,243.04,247.76,1681265.0,normal,2025-12-10T10:35:36.649765Z,2025-11-10
TEL,1d,2025-11-07T00:00:00,239.39,242.55,237.28,242.42,1936588.0,normal,2025-12-10T10:35:36.649765Z,2025-11-07
TEL,1d,2025-11-06T00:00:00,249.21,249.87,241.61,242.5,1941309.0,normal,2025-12-10T10:35:36.649765Z,2025-11-06
TEL,1d,2025-11-05T00:00:00,243.27,250.67,242.53,249.0,2002419.0,normal,2025-12-10T10:35:36.649765Z,2025-11-05
TEL,1d,2025-11-04T00:00:00,243.56,246.03,241.91,243.55,2070300.0,normal,2025-12-10T10:35:36.649765Z,2025-11-04
TEL,1d,2025-11-03T00:00:00,248.57,248.59,245.0,246.87,1820320.0,normal,2025-12-10T10:35:36.649765Z,2025-11-03
TEL,1d,2025-10-31T00:00:00,244.54,247.92,243.96,247.01,2441940.0,normal,2025-12-10T10:35:36.649765Z,2025-10-31
TEL,1d,2025-10-30T00:00:00,240.96,247.34,240.0,243.45,1617157.0,normal,2025-12-10T10:35:36.649765Z,2025-10-30
TEL,1d,2025-10-29T00:00:00,244.08,246.13,236.21,240.76,3133595.0,normal,2025-12-10T10:35:36.649765Z,2025-10-29
TEL,1d,2025-10-28T00:00:00,237.84,239.75,233.84,236.54,2948031.0,normal,2025-12-10T10:35:36.649765Z,2025-10-28
TEL,1d,2025-10-27T00:00:00,237.24,238.99,235.86,236.74,2259716.0,normal,2025-12-10T10:35:36.649765Z,2025-10-27
TEL,1d,2025-10-24T00:00:00,236.42,237.63,235.44,235.65,1365900.0,normal,2025-12-10T10:35:36.649765Z,2025-10-24
TEL,1d,2025-10-23T00:00:00,230.09,234.68,230.09,234.09,1432340.0,normal,2025-12-10T10:35:36.649765Z,2025-10-23
TEL,1d,2025-10-22T00:00:00,234.5,237.5,227.29,229.1,3134400.0,normal,2025-12-10T10:35:36.649765Z,2025-10-22
TEL,1d,2025-10-21T00:00:00,230.35,234.5,227.61,228.22,2851724.0,normal,2025-12-10T10:35:36.649765Z,2025-10-21
TEL,1d,2025-10-20T00:00:00,225.0,226.96,224.07,225.96,1799960.0,normal,2025-12-10T10:35:36.649765Z,2025-10-20
TEL,1d,2025-10-17T00:00:00,223.2,224.53,222.09,222.98,1343759.0,normal,2025-12-10T10:35:36.649765Z,2025-10-17
TEL,1d,2025-10-16T00:00:00,224.89,226.5,221.52,224.19,1139100.0,normal,2025-12-10T10:35:36.649765Z,2025-10-16
TEL,1d,2025-10-15T00:00:00,224.6,226.1,221.41,222.69,1306500.0,normal,2025-12-10T10:35:36.649765Z,2025-10-15
