ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
TXT,1d,2025-12-15T00:00:00,87.63,88.0,86.83,87.94,1867835.0,normal,2026-01-01T03:41:32.104816Z,2025-12-15
TXT,1d,2025-12-12T00:00:00,86.66,88.12,86.59,87.17,2139100.0,normal,2026-01-01T03:41:32.104816Z,2025-12-12
TXT,1d,2025-12-11T00:00:00,85.58,87.61,84.57,86.85,1501700.0,normal,2026-01-01T03:41:32.104816Z,2025-12-11
TXT,1d,2025-12-10T00:00:00,84.28,85.5,83.86,85.1,1061879.0,normal,2026-01-01T03:41:32.104816Z,2025-12-10
TXT,1d,2025-12-09T00:00:00,83.86,84.81,83.86,83.9,1032142.0,normal,2026-01-01T03:41:32.104816Z,2025-12-09
TXT,1d,2025-12-08T00:00:00,83.58,84.65,83.08,84.41,1075447.0,normal,2026-01-01T03:41:32.104816Z,2025-12-08
TXT,1d,2025-12-05T00:00:00,83.07,83.54,82.23,83.47,1910235.0,normal,2026-01-01T03:41:32.104816Z,2025-12-05
TXT,1d,2025-12-04T00:00:00,84.0,84.49,82.73,83.14,1812700.0,normal,2026-01-01T03:41:32.104816Z,2025-12-04
TXT,1d,2025-12-03T00:00:00,82.7,83.82,82.46,83.7,971920.0,normal,2026-01-01T03:41:32.104816Z,2025-12-03
TXT,1d,2025-12-02T00:00:00,82.41,82.63,81.54,82.43,1037400.0,normal,2026-01-01T03:41:32.104816Z,2025-12-02
TXT,1d,2025-12-01T00:00:00,82.37,83.22,81.86,82.0,1032994.0,normal,2026-01-01T03:41:32.104816Z,2025-12-01
TXT,1d,2025-11-28T00:00:00,82.93,83.38,82.81,83.16,616112.0,normal,2026-01-01T03:41:32.104816Z,2025-11-28
TXT,1d,2025-11-26T00:00:00,83.13,83.7,82.95,83.04,905400.0,normal,2026-01-01T03:41:32.104816Z,2025-11-26
TXT,1d,2025-11-25T00:00:00,82.68,83.29,82.4,82.92,1150600.0,normal,2026-01-01T03:41:32.104816Z,2025-11-25
TXT,1d,2025-11-24T00:00:00,81.25,82.95,80.64,82.39,1941200.0,normal,2026-01-01T03:41:32.104816Z,2025-11-24
TXT,1d,2025-11-21T00:00:00,79.67,81.91,79.39,81.33,1325600.0,normal,2026-01-01T03:41:32.104816Z,2025-11-21
TXT,1d,2025-11-20T00:00:00,80.81,81.29,79.02,79.53,1272709.0,normal,2026-01-01T03:41:32.104816Z,2025-11-20
TXT,1d,2025-11-19T00:00:00,79.6,80.01,79.2,79.78,1328700.0,normal,2026-01-01T03:41:32.104816Z,2025-11-19
TXT,1d,2025-11-18T00:00:00,80.05,80.46,79.32,79.85,952546.0,normal,2026-01-01T03:41:32.104816Z,2025-11-18
TXT,1d,2025-11-17T00:00:00,80.76,81.23,79.67,80.06,948536.0,normal,2026-01-01T03:41:32.104816Z,2025-11-17
TXT,1d,2025-11-14T00:00:00,80.84,81.53,80.39,80.72,1446500.0,normal,2026-01-01T03:41:32.104816Z,2025-11-14
TXT,1d,2025-11-13T00:00:00,82.41,83.12,81.13,81.45,965800.0,normal,2026-01-01T03:41:32.104816Z,2025-11-13
TXT,1d,2025-11-12T00:00:00,82.33,83.3,82.33,82.48,1054544.0,normal,2026-01-01T03:41:32.104816Z,2025-11-12
TXT,1d,2025-11-11T00:00:00,82.23,82.83,81.59,82.45,681500.0,normal,2026-01-01T03:41:32.104816Z,2025-11-11
TXT,1d,2025-11-10T00:00:00,82.06,82.7,80.77,82.06,1442749.0,normal,2026-01-01T03:41:32.104816Z,2025-11-10
TXT,1d,2025-11-07T00:00:00,80.33,82.09,80.08,82.03,1371514.0,normal,2026-01-01T03:41:32.104816Z,2025-11-07
TXT,1d,2025-11-06T00:00:00,80.29,81.27,80.06,80.43,900100.0,normal,2026-01-01T03:41:32.104816Z,2025-11-06
TXT,1d,2025-11-05T00:00:00,79.46,81.0,79.28,80.27,1266102.0,normal,2026-01-01T03:41:32.104816Z,2025-11-05
TXT,1d,2025-11-04T00:00:00,79.44,79.99,78.84,79.76,1493270.0,normal,2026-01-01T03:41:32.104816Z,2025-11-04
TXT,1d,2025-11-03T00:00:00,80.41,80.66,79.4,79.98,1289600.0,normal,2026-01-01T03:41:32.104816Z,2025-11-03
TXT,1d,2025-10-31T00:00:00,79.21,81.31,79.05,80.81,1412726.0,normal,2026-01-01T03:41:32.104816Z,2025-10-31
TXT,1d,2025-10-30T00:00:00,79.67,81.16,79.38,79.42,1226737.0,normal,2026-01-01T03:41:32.104816Z,2025-10-30
TXT,1d,2025-10-29T00:00:00,80.07,81.19,79.08,79.99,1802480.0,normal,2026-01-01T03:41:32.104816Z,2025-10-29
TXT,1d,2025-10-28T00:00:00,80.26,80.46,79.33,79.95,1602423.0,normal,2026-01-01T03:41:32.104816Z,2025-10-28
TXT,1d,2025-10-27T00:00:00,81.23,81.23,80.0,80.47,1925124.0,normal,2026-01-01T03:41:32.104816Z,2025-10-27
TXT,1d,2025-10-24T00:00:00,80.18,81.31,79.41,81.22,2409901.0,normal,2026-01-01T03:41:32.104816Z,2025-10-24
