ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
UNP,1d,2025-12-10T00:00:00,232.01,236.77,231.85,235.46,4938431.0,normal,2025-12-11T07:41:49.046686Z,2025-12-10
UNP,1d,2025-12-09T00:00:00,234.16,234.77,231.5,231.56,3785263.0,normal,2025-12-11T07:41:49.046686Z,2025-12-09
UNP,1d,2025-12-08T00:00:00,234.77,237.36,234.13,235.44,2461800.0,normal,2025-12-11T07:41:49.046686Z,2025-12-08
UNP,1d,2025-12-05T00:00:00,235.76,237.07,234.98,235.31,2494724.0,normal,2025-12-11T07:41:49.046686Z,2025-12-05
UNP,1d,2025-12-04T00:00:00,235.72,237.72,234.32,237.29,3162598.0,normal,2025-12-11T07:41:49.046686Z,2025-12-04
UNP,1d,2025-12-03T00:00:00,232.78,235.86,232.34,235.23,3576635.0,normal,2025-12-11T07:41:49.046686Z,2025-12-03
UNP,1d,2025-12-02T00:00:00,231.59,233.81,229.37,232.24,5190202.0,normal,2025-12-11T07:41:49.046686Z,2025-12-02
UNP,1d,2025-12-01T00:00:00,231.46,234.12,231.14,231.36,3463225.0,normal,2025-12-11T07:41:49.046686Z,2025-12-01
UNP,1d,2025-11-28T00:00:00,230.93,232.46,230.47,231.83,1207600.0,normal,2025-12-11T07:41:49.046686Z,2025-11-28
UNP,1d,2025-11-26T00:00:00,229.0,231.83,228.43,230.66,3233823.0,normal,2025-12-11T07:41:49.046686Z,2025-11-26
UNP,1d,2025-11-25T00:00:00,225.74,229.45,225.26,229.13,2582683.0,normal,2025-12-11T07:41:49.046686Z,2025-11-25
UNP,1d,2025-11-24T00:00:00,226.59,226.59,222.5,224.5,4483214.0,normal,2025-12-11T07:41:49.046686Z,2025-11-24
UNP,1d,2025-11-21T00:00:00,222.32,227.44,221.69,226.22,3595691.0,normal,2025-12-11T07:41:49.046686Z,2025-11-21
UNP,1d,2025-11-20T00:00:00,221.56,223.48,220.45,221.21,3955269.0,normal,2025-12-11T07:41:49.046686Z,2025-11-20
UNP,1d,2025-11-19T00:00:00,221.31,221.99,219.97,221.17,3396554.0,normal,2025-12-11T07:41:49.046686Z,2025-11-19
UNP,1d,2025-11-18T00:00:00,221.71,221.97,219.89,220.82,3863184.0,normal,2025-12-11T07:41:49.046686Z,2025-11-18
UNP,1d,2025-11-17T00:00:00,222.85,223.69,220.87,221.0,2921169.0,normal,2025-12-11T07:41:49.046686Z,2025-11-17
UNP,1d,2025-11-14T00:00:00,221.72,224.23,220.42,223.02,2886481.0,normal,2025-12-11T07:41:49.046686Z,2025-11-14
UNP,1d,2025-11-13T00:00:00,222.39,223.62,220.95,221.48,2682228.0,normal,2025-12-11T07:41:49.046686Z,2025-11-13
UNP,1d,2025-11-12T00:00:00,224.8,227.06,223.51,223.55,1945714.0,normal,2025-12-11T07:41:49.046686Z,2025-11-12
UNP,1d,2025-11-11T00:00:00,224.5,224.9,223.44,224.8,2698078.0,normal,2025-12-11T07:41:49.046686Z,2025-11-11
UNP,1d,2025-11-10T00:00:00,221.06,224.64,220.74,223.88,4095300.0,normal,2025-12-11T07:41:49.046686Z,2025-11-10
UNP,1d,2025-11-07T00:00:00,219.22,221.68,218.2,221.48,3735607.0,normal,2025-12-11T07:41:49.046686Z,2025-11-07
UNP,1d,2025-11-06T00:00:00,216.93,218.56,216.32,217.99,3429800.0,normal,2025-12-11T07:41:49.046686Z,2025-11-06
UNP,1d,2025-11-05T00:00:00,219.75,221.34,217.28,217.38,2707736.0,normal,2025-12-11T07:41:49.046686Z,2025-11-05
UNP,1d,2025-11-04T00:00:00,218.61,221.13,217.46,220.91,2737946.0,normal,2025-12-11T07:41:49.046686Z,2025-11-04
UNP,1d,2025-11-03T00:00:00,219.94,221.0,218.03,218.82,3552802.0,normal,2025-12-11T07:41:49.046686Z,2025-11-03
UNP,1d,2025-10-31T00:00:00,217.5,220.99,216.34,220.37,2586365.0,normal,2025-12-11T07:41:49.046686Z,2025-10-31
UNP,1d,2025-10-30T00:00:00,216.05,220.3,215.7,218.83,2806927.0,normal,2025-12-11T07:41:49.046686Z,2025-10-30
UNP,1d,2025-10-29T00:00:00,216.64,218.16,215.53,216.37,3588251.0,normal,2025-12-11T07:41:49.046686Z,2025-10-29
UNP,1d,2025-10-28T00:00:00,218.36,220.91,217.56,217.59,2782721.0,normal,2025-12-11T07:41:49.046686Z,2025-10-28
UNP,1d,2025-10-27T00:00:00,218.2,218.93,216.4,218.23,4692298.0,normal,2025-12-11T07:41:49.046686Z,2025-10-27
UNP,1d,2025-10-24T00:00:00,220.51,221.27,216.0,216.61,4128970.0,normal,2025-12-11T07:41:49.046686Z,2025-10-24
UNP,1d,2025-10-23T00:00:00,223.28,225.94,219.1,220.04,5148504.0,normal,2025-12-11T07:41:49.046686Z,2025-10-23
UNP,1d,2025-10-22T00:00:00,226.99,228.85,225.21,225.24,3756800.0,normal,2025-12-11T07:41:49.046686Z,2025-10-22
UNP,1d,2025-10-21T00:00:00,226.29,228.15,225.42,226.54,2727740.0,normal,2025-12-11T07:41:49.046686Z,2025-10-21
UNP,1d,2025-10-20T00:00:00,226.66,229.21,225.8,227.3,2922100.0,normal,2025-12-11T07:41:49.046686Z,2025-10-20
UNP,1d,2025-10-17T00:00:00,225.11,228.67,224.82,226.04,3237300.0,normal,2025-12-11T07:41:49.046686Z,2025-10-17
UNP,1d,2025-10-16T00:00:00,226.27,227.5,223.22,224.04,2971572.0,normal,2025-12-11T07:41:49.046686Z,2025-10-16
UNP,1d,2025-10-15T00:00:00,227.14,228.0,224.59,225.72,2483704.0,normal,2025-12-11T07:41:49.046686Z,2025-10-15
UNP,1d,2025-10-14T00:00:00,223.92,227.85,223.33,227.08,2306258.0,normal,2025-12-11T07:41:49.046686Z,2025-10-14
UNP,1d,2025-10-13T00:00:00,226.73,227.41,224.82,225.85,2079713.0,normal,2025-12-11T07:41:49.046686Z,2025-10-13
UNP,1d,2025-10-10T00:00:00,232.55,233.86,225.22,225.45,2762700.0,normal,2025-12-11T07:41:49.046686Z,2025-10-10
UNP,1d,2025-10-09T00:00:00,232.74,233.48,230.12,231.54,2331505.0,normal,2025-12-11T07:41:49.046686Z,2025-10-09
UNP,1d,2025-10-08T00:00:00,230.18,233.74,229.22,232.65,3580300.0,normal,2025-12-11T07:41:49.046686Z,2025-10-08
UNP,1d,2025-10-07T00:00:00,237.78,238.22,231.26,231.86,3024153.0,normal,2025-12-11T07:41:49.046686Z,2025-10-07
UNP,1d,2025-10-06T00:00:00,237.0,238.23,235.5,237.41,3261115.0,normal,2025-12-11T07:41:49.046686Z,2025-10-06
