ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
URI,1d,2025-12-24T00:00:00,817.41,828.0,817.41,824.77,189900.0,normal,2025-12-26T06:59:18.640609Z,2025-12-24
URI,1d,2025-12-23T00:00:00,816.69,821.3,810.11,817.85,313500.0,normal,2025-12-26T06:59:18.640609Z,2025-12-23
URI,1d,2025-12-22T00:00:00,815.06,821.58,807.29,816.73,487200.0,normal,2025-12-26T06:59:18.640609Z,2025-12-22
URI,1d,2025-12-19T00:00:00,795.77,812.71,792.81,812.42,1223384.0,normal,2025-12-26T06:59:18.640609Z,2025-12-19
URI,1d,2025-12-18T00:00:00,806.51,828.26,795.92,800.53,774040.0,normal,2025-12-26T06:59:18.640609Z,2025-12-18
URI,1d,2025-12-17T00:00:00,822.38,824.99,784.27,792.54,839428.0,normal,2025-12-26T06:59:18.640609Z,2025-12-17
URI,1d,2025-12-16T00:00:00,809.44,829.66,801.62,818.68,655524.0,normal,2025-12-26T06:59:18.640609Z,2025-12-16
URI,1d,2025-12-15T00:00:00,820.2,820.2,800.29,810.44,559496.0,normal,2025-12-26T06:59:18.640609Z,2025-12-15
URI,1d,2025-12-12T00:00:00,838.13,852.15,816.05,818.31,708439.0,normal,2025-12-26T06:59:18.640609Z,2025-12-12
URI,1d,2025-12-11T00:00:00,815.62,837.17,810.68,833.85,756265.0,normal,2025-12-26T06:59:18.640609Z,2025-12-11
URI,1d,2025-12-10T00:00:00,789.0,816.42,786.65,813.59,839187.0,normal,2025-12-26T06:59:18.640609Z,2025-12-10
URI,1d,2025-12-09T00:00:00,784.02,810.56,784.02,789.9,928631.0,normal,2025-12-26T06:59:18.640609Z,2025-12-09
URI,1d,2025-12-08T00:00:00,794.72,805.83,782.49,785.04,1075700.0,normal,2025-12-26T06:59:18.640609Z,2025-12-08
URI,1d,2025-12-05T00:00:00,810.0,813.91,794.52,796.91,697537.0,normal,2025-12-26T06:59:18.640609Z,2025-12-05
URI,1d,2025-12-04T00:00:00,817.93,824.21,802.61,807.74,861725.0,normal,2025-12-26T06:59:18.640609Z,2025-12-04
URI,1d,2025-12-03T00:00:00,800.6,816.12,797.0,813.66,791987.0,normal,2025-12-26T06:59:18.640609Z,2025-12-03
URI,1d,2025-12-02T00:00:00,810.66,812.26,798.88,800.83,512151.0,normal,2025-12-26T06:59:18.640609Z,2025-12-02
URI,1d,2025-12-01T00:00:00,809.31,815.67,802.3,805.24,608300.0,normal,2025-12-26T06:59:18.640609Z,2025-12-01
URI,1d,2025-11-28T00:00:00,820.05,823.01,814.19,815.18,262211.0,normal,2025-12-26T06:59:18.640609Z,2025-11-28
URI,1d,2025-11-26T00:00:00,814.42,819.17,806.59,814.97,787030.0,normal,2025-12-26T06:59:18.640609Z,2025-11-26
URI,1d,2025-11-25T00:00:00,813.86,821.64,805.78,810.0,1100126.0,normal,2025-12-26T06:59:18.640609Z,2025-11-25
URI,1d,2025-11-24T00:00:00,801.1,817.85,798.1,811.0,951949.0,normal,2025-12-26T06:59:18.640609Z,2025-11-24
URI,1d,2025-11-21T00:00:00,776.48,815.94,772.57,800.0,1320578.0,normal,2025-12-26T06:59:18.640609Z,2025-11-21
URI,1d,2025-11-20T00:00:00,806.6,813.92,769.88,770.0,893400.0,normal,2025-12-26T06:59:18.640609Z,2025-11-20
URI,1d,2025-11-19T00:00:00,800.08,809.47,791.45,792.27,619502.0,normal,2025-12-26T06:59:18.640609Z,2025-11-19
URI,1d,2025-11-18T00:00:00,806.04,813.11,798.9,800.5,781000.0,normal,2025-12-26T06:59:18.640609Z,2025-11-18
URI,1d,2025-11-17T00:00:00,834.03,836.5,798.67,806.61,793803.0,normal,2025-12-26T06:59:18.640609Z,2025-11-17
URI,1d,2025-11-14T00:00:00,842.5,845.0,829.01,834.03,396871.0,normal,2025-12-26T06:59:18.640609Z,2025-11-14
URI,1d,2025-11-13T00:00:00,858.97,866.0,841.86,843.26,483412.0,normal,2025-12-26T06:59:18.640609Z,2025-11-13
URI,1d,2025-11-12T00:00:00,853.22,866.86,853.02,860.71,440612.0,normal,2025-12-26T06:59:18.640609Z,2025-11-12
URI,1d,2025-11-11T00:00:00,852.52,863.65,847.53,855.01,310100.0,normal,2025-12-26T06:59:18.640609Z,2025-11-11
URI,1d,2025-11-10T00:00:00,855.78,862.98,843.83,854.53,429907.0,normal,2025-12-26T06:59:18.640609Z,2025-11-10
URI,1d,2025-11-07T00:00:00,836.38,851.65,833.45,848.25,376832.0,normal,2025-12-26T06:59:18.640609Z,2025-11-07
