ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
VICI,1d,2025-12-10T00:00:00,27.78,27.9,27.72,27.765,8691190.0,normal,2025-12-26T20:13:44.423664Z,2025-12-10
VICI,1d,2025-12-09T00:00:00,27.95,28.12,27.63,27.76,21776468.0,normal,2025-12-26T20:13:44.423664Z,2025-12-09
VICI,1d,2025-12-08T00:00:00,27.88,27.99,27.69,27.92,15862915.0,normal,2025-12-26T20:13:44.423664Z,2025-12-08
VICI,1d,2025-12-05T00:00:00,27.96,28.19,27.67,27.73,16346500.0,normal,2025-12-26T20:13:44.423664Z,2025-12-05
VICI,1d,2025-12-04T00:00:00,28.22,28.29,27.94,28.0,13809900.0,normal,2025-12-26T20:13:44.423664Z,2025-12-04
VICI,1d,2025-12-03T00:00:00,28.4,28.64,28.12,28.3,12220803.0,normal,2025-12-26T20:13:44.423664Z,2025-12-03
VICI,1d,2025-12-02T00:00:00,28.65,28.69,28.18,28.45,23515100.0,normal,2025-12-26T20:13:44.423664Z,2025-12-02
VICI,1d,2025-12-01T00:00:00,28.63,28.63,28.38,28.59,14828700.0,normal,2025-12-26T20:13:44.423664Z,2025-12-01
VICI,1d,2025-11-28T00:00:00,28.83,28.98,28.79,28.82,6014341.0,normal,2025-12-26T20:13:44.423664Z,2025-11-28
VICI,1d,2025-11-26T00:00:00,28.8,29.08,28.73,28.83,10995892.0,normal,2025-12-26T20:13:44.423664Z,2025-11-26
VICI,1d,2025-11-25T00:00:00,28.86,28.97,28.62,28.75,15698916.0,normal,2025-12-26T20:13:44.423664Z,2025-11-25
VICI,1d,2025-11-24T00:00:00,28.89,29.0,28.58,28.72,21901120.0,normal,2025-12-26T20:13:44.423664Z,2025-11-24
VICI,1d,2025-11-21T00:00:00,28.91,29.08,28.71,28.82,23203003.0,normal,2025-12-26T20:13:44.423664Z,2025-11-21
VICI,1d,2025-11-20T00:00:00,29.29,29.41,28.75,28.8,17181407.0,normal,2025-12-26T20:13:44.423664Z,2025-11-20
VICI,1d,2025-11-19T00:00:00,29.5,29.56,29.12,29.15,9288418.0,normal,2025-12-26T20:13:44.423664Z,2025-11-19
VICI,1d,2025-11-18T00:00:00,29.72,29.91,29.33,29.57,11020300.0,normal,2025-12-26T20:13:44.423664Z,2025-11-18
VICI,1d,2025-11-17T00:00:00,30.36,30.4,29.96,30.13,9006300.0,normal,2025-12-26T20:13:44.423664Z,2025-11-17
VICI,1d,2025-11-14T00:00:00,30.54,30.6,30.13,30.36,10511900.0,normal,2025-12-26T20:13:44.423664Z,2025-11-14
VICI,1d,2025-11-13T00:00:00,30.5,30.83,30.37,30.45,7300329.0,normal,2025-12-26T20:13:44.423664Z,2025-11-13
VICI,1d,2025-11-12T00:00:00,30.56,30.66,30.4,30.58,11100441.0,normal,2025-12-26T20:13:44.423664Z,2025-11-12
VICI,1d,2025-11-11T00:00:00,30.64,30.76,30.51,30.63,4521400.0,normal,2025-12-26T20:13:44.423664Z,2025-11-11
VICI,1d,2025-11-10T00:00:00,30.23,30.59,30.07,30.43,9783997.0,normal,2025-12-26T20:13:44.423664Z,2025-11-10
