ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
VTRS,1d,2025-12-15T00:00:00,11.73,11.83,11.63,11.66,7344300.0,normal,2026-01-01T03:46:55.661342Z,2025-12-15
VTRS,1d,2025-12-12T00:00:00,11.65,11.72,11.5,11.65,5553093.0,normal,2026-01-01T03:46:55.661342Z,2025-12-12
VTRS,1d,2025-12-11T00:00:00,11.58,11.62,11.31,11.59,6353000.0,normal,2026-01-01T03:46:55.661342Z,2025-12-11
VTRS,1d,2025-12-10T00:00:00,11.2,11.63,11.1,11.6,9779360.0,normal,2026-01-01T03:46:55.661342Z,2025-12-10
VTRS,1d,2025-12-09T00:00:00,11.11,11.33,10.99,11.19,11213275.0,normal,2026-01-01T03:46:55.661342Z,2025-12-09
VTRS,1d,2025-12-08T00:00:00,10.99,11.29,10.94,11.09,9337260.0,normal,2026-01-01T03:46:55.661342Z,2025-12-08
VTRS,1d,2025-12-05T00:00:00,10.8,11.02,10.8,10.93,5855860.0,normal,2026-01-01T03:46:55.661342Z,2025-12-05
VTRS,1d,2025-12-04T00:00:00,10.86,10.89,10.67,10.76,5229391.0,normal,2026-01-01T03:46:55.661342Z,2025-12-04
VTRS,1d,2025-12-03T00:00:00,10.75,10.93,10.73,10.84,5616514.0,normal,2026-01-01T03:46:55.661342Z,2025-12-03
VTRS,1d,2025-12-02T00:00:00,10.73,10.87,10.64,10.71,10059307.0,normal,2026-01-01T03:46:55.661342Z,2025-12-02
VTRS,1d,2025-12-01T00:00:00,10.63,10.76,10.63,10.7,6395068.0,normal,2026-01-01T03:46:55.661342Z,2025-12-01
VTRS,1d,2025-11-28T00:00:00,10.65,10.71,10.59,10.69,2714933.0,normal,2026-01-01T03:46:55.661342Z,2025-11-28
VTRS,1d,2025-11-26T00:00:00,10.6,10.71,10.49,10.64,6559645.0,normal,2026-01-01T03:46:55.661342Z,2025-11-26
VTRS,1d,2025-11-25T00:00:00,10.6,10.73,10.52,10.56,6948100.0,normal,2026-01-01T03:46:55.661342Z,2025-11-25
VTRS,1d,2025-11-24T00:00:00,10.45,10.61,10.39,10.57,10614145.0,normal,2026-01-01T03:46:55.661342Z,2025-11-24
VTRS,1d,2025-11-21T00:00:00,10.25,10.6,10.15,10.46,8953705.0,normal,2026-01-01T03:46:55.661342Z,2025-11-21
VTRS,1d,2025-11-20T00:00:00,10.48,10.56,10.16,10.19,8666547.0,normal,2026-01-01T03:46:55.661342Z,2025-11-20
VTRS,1d,2025-11-19T00:00:00,10.68,10.69,10.44,10.46,9939252.0,normal,2026-01-01T03:46:55.661342Z,2025-11-19
VTRS,1d,2025-11-18T00:00:00,10.64,10.87,10.57,10.71,7719839.0,normal,2026-01-01T03:46:55.661342Z,2025-11-18
VTRS,1d,2025-11-17T00:00:00,10.73,10.88,10.62,10.66,5993183.0,normal,2026-01-01T03:46:55.661342Z,2025-11-17
