ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
WBD,1d,2025-12-09T00:00:00,27.46,28.34,27.37,28.26,106789445.0,normal,2025-12-10T10:27:28.570651Z,2025-12-09
WBD,1d,2025-12-08T00:00:00,27.64,28.17,26.84,27.23,167058200.0,normal,2025-12-10T10:27:28.570651Z,2025-12-08
WBD,1d,2025-12-05T00:00:00,25.45,26.1,24.98,26.08,198872335.0,normal,2025-12-10T10:27:28.570651Z,2025-12-05
WBD,1d,2025-12-04T00:00:00,24.17,24.57,24.05,24.54,38315608.0,normal,2025-12-10T10:27:28.570651Z,2025-12-04
WBD,1d,2025-12-03T00:00:00,24.24,24.74,24.1,24.57,22786511.0,normal,2025-12-10T10:27:28.570651Z,2025-12-03
WBD,1d,2025-12-02T00:00:00,24.25,24.76,24.03,24.53,46583800.0,normal,2025-12-10T10:27:28.570651Z,2025-12-02
WBD,1d,2025-12-01T00:00:00,23.82,24.12,23.64,23.87,36016923.0,normal,2025-12-10T10:27:28.570651Z,2025-12-01
WBD,1d,2025-11-28T00:00:00,23.8,24.2,23.65,24.0,19985530.0,normal,2025-12-10T10:27:28.570651Z,2025-11-28
WBD,1d,2025-11-26T00:00:00,23.17,23.91,23.17,23.88,40581600.0,normal,2025-12-10T10:27:28.570651Z,2025-11-26
WBD,1d,2025-11-25T00:00:00,22.85,23.58,22.59,22.96,31113400.0,normal,2025-12-10T10:27:28.570651Z,2025-11-25
WBD,1d,2025-11-24T00:00:00,22.95,23.32,22.62,22.86,50601200.0,normal,2025-12-10T10:27:28.570651Z,2025-11-24
WBD,1d,2025-11-21T00:00:00,23.0,23.58,22.88,23.17,38256247.0,normal,2025-12-10T10:27:28.570651Z,2025-11-21
WBD,1d,2025-11-20T00:00:00,23.38,24.01,22.74,22.88,46807533.0,normal,2025-12-10T10:27:28.570651Z,2025-11-20
WBD,1d,2025-11-19T00:00:00,23.65,24.01,22.79,23.09,47882200.0,normal,2025-12-10T10:27:28.570651Z,2025-11-19
WBD,1d,2025-11-18T00:00:00,22.74,24.19,22.58,23.69,60510126.0,normal,2025-12-10T10:27:28.570651Z,2025-11-18
WBD,1d,2025-11-17T00:00:00,23.03,23.15,22.34,22.74,36814300.0,normal,2025-12-10T10:27:28.570651Z,2025-11-17
WBD,1d,2025-11-14T00:00:00,22.75,23.19,22.53,23.03,54192839.0,normal,2025-12-10T10:27:28.570651Z,2025-11-14
WBD,1d,2025-11-13T00:00:00,22.13,22.5,21.87,22.14,31904200.0,normal,2025-12-10T10:27:28.570651Z,2025-11-13
WBD,1d,2025-11-12T00:00:00,23.0,23.05,22.11,22.19,25310100.0,normal,2025-12-10T10:27:28.570651Z,2025-11-12
WBD,1d,2025-11-11T00:00:00,22.95,23.19,22.76,23.05,18926718.0,normal,2025-12-10T10:27:28.570651Z,2025-11-11
WBD,1d,2025-11-10T00:00:00,22.71,23.02,22.44,22.98,30461700.0,normal,2025-12-10T10:27:28.570651Z,2025-11-10
WBD,1d,2025-11-07T00:00:00,22.43,22.98,22.26,22.67,30905500.0,normal,2025-12-10T10:27:28.570651Z,2025-11-07
