ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
WDC,1d,2025-12-15T00:00:00,178.29,180.98,171.82,172.04,5781900.0,normal,2026-01-01T03:45:31.921124Z,2025-12-15
WDC,1d,2025-12-12T00:00:00,184.34,185.82,170.02,176.34,9677928.0,normal,2026-01-01T03:45:31.921124Z,2025-12-12
WDC,1d,2025-12-11T00:00:00,176.82,188.77,173.45,187.2,7468934.0,normal,2026-01-01T03:45:31.921124Z,2025-12-11
WDC,1d,2025-12-10T00:00:00,169.49,182.44,168.9044,181.27,5825972.0,normal,2026-01-01T03:45:31.921124Z,2025-12-10
WDC,1d,2025-12-09T00:00:00,169.7,171.85,166.88,169.54,3709875.0,normal,2026-01-01T03:45:31.921124Z,2025-12-09
WDC,1d,2025-12-08T00:00:00,170.93,173.0,166.75,169.78,4272221.0,normal,2026-01-01T03:45:31.921124Z,2025-12-08
WDC,1d,2025-12-05T00:00:00,162.0,169.47,162.0,168.89,5815322.0,normal,2026-01-01T03:45:31.921124Z,2025-12-05
WDC,1d,2025-12-04T00:00:00,154.91,161.53,153.01,161.0,6303310.0,normal,2026-01-01T03:45:31.921124Z,2025-12-04
WDC,1d,2025-12-03T00:00:00,159.52,159.54,151.42,155.59,6756420.0,normal,2026-01-01T03:45:31.921124Z,2025-12-03
WDC,1d,2025-12-02T00:00:00,167.0,169.72,156.27,159.99,7657422.0,normal,2026-01-01T03:45:31.921124Z,2025-12-02
WDC,1d,2025-12-01T00:00:00,160.2,165.25,157.23,163.54,7882228.0,normal,2026-01-01T03:45:31.921124Z,2025-12-01
WDC,1d,2025-11-28T00:00:00,160.0,163.67,156.79,163.33,3232100.0,normal,2026-01-01T03:45:31.921124Z,2025-11-28
WDC,1d,2025-11-26T00:00:00,156.98,161.31,156.36,157.74,4853810.0,normal,2026-01-01T03:45:31.921124Z,2025-11-26
WDC,1d,2025-11-25T00:00:00,150.0,156.01,147.7,155.41,5467700.0,normal,2026-01-01T03:45:31.921124Z,2025-11-25
WDC,1d,2025-11-24T00:00:00,142.54,152.7,142.54,150.93,10818400.0,normal,2026-01-01T03:45:31.921124Z,2025-11-24
WDC,1d,2025-11-21T00:00:00,140.54,141.49,132.43,139.19,11191147.0,normal,2026-01-01T03:45:31.921124Z,2025-11-21
WDC,1d,2025-11-20T00:00:00,162.68,163.78,137.63,140.23,11373603.0,normal,2026-01-01T03:45:31.921124Z,2025-11-20
WDC,1d,2025-11-19T00:00:00,152.86,156.64,150.08,153.97,6499100.0,normal,2026-01-01T03:45:31.921124Z,2025-11-19
WDC,1d,2025-11-18T00:00:00,158.35,161.32,150.75,152.86,9321346.0,normal,2026-01-01T03:45:31.921124Z,2025-11-18
WDC,1d,2025-11-17T00:00:00,155.51,167.49,155.51,162.45,8774234.0,normal,2026-01-01T03:45:31.921124Z,2025-11-17
WDC,1d,2025-11-14T00:00:00,150.58,161.68,150.08,157.83,9677838.0,normal,2026-01-01T03:45:31.921124Z,2025-11-14
WDC,1d,2025-11-13T00:00:00,162.45,164.88,154.78,157.16,10238600.0,normal,2026-01-01T03:45:31.921124Z,2025-11-13
WDC,1d,2025-11-12T00:00:00,169.73,175.62,165.03,166.11,9868300.0,normal,2026-01-01T03:45:31.921124Z,2025-11-12
WDC,1d,2025-11-11T00:00:00,171.55,178.45,169.64,169.99,9244008.0,normal,2026-01-01T03:45:31.921124Z,2025-11-11
WDC,1d,2025-11-10T00:00:00,169.97,176.23,169.32,174.22,11230739.0,normal,2026-01-01T03:45:31.921124Z,2025-11-10
WDC,1d,2025-11-07T00:00:00,159.76,163.24,152.81,162.96,9652820.0,normal,2026-01-01T03:45:31.921124Z,2025-11-07
WDC,1d,2025-11-06T00:00:00,159.99,167.5,159.8,163.6,8419228.0,normal,2026-01-01T03:45:31.921124Z,2025-11-06
