ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
WFC,1d,2025-12-15T00:00:00,93.58,94.26,92.49,92.9,13885200.0,normal,2026-01-01T03:38:35.346222Z,2025-12-15
WFC,1d,2025-12-12T00:00:00,93.12,93.42,92.12,92.76,12532836.0,normal,2026-01-01T03:38:35.346222Z,2025-12-12
WFC,1d,2025-12-11T00:00:00,90.54,93.42,90.22,92.59,15505116.0,normal,2026-01-01T03:38:35.346222Z,2025-12-11
WFC,1d,2025-12-10T00:00:00,88.94,90.865,88.19,90.68,18322044.0,normal,2026-01-01T03:38:35.346222Z,2025-12-10
WFC,1d,2025-12-09T00:00:00,90.24,90.25,88.78,88.89,17101654.0,normal,2026-01-01T03:38:35.346222Z,2025-12-09
WFC,1d,2025-12-08T00:00:00,89.83,91.02,89.15,90.06,13267574.0,normal,2026-01-01T03:38:35.346222Z,2025-12-08
WFC,1d,2025-12-05T00:00:00,89.99,91.11,89.55,89.83,11210942.0,normal,2026-01-01T03:38:35.346222Z,2025-12-05
WFC,1d,2025-12-04T00:00:00,89.4,90.63,89.32,90.21,13433025.0,normal,2026-01-01T03:38:35.346222Z,2025-12-04
WFC,1d,2025-12-03T00:00:00,86.26,89.39,86.26,89.35,14439300.0,normal,2026-01-01T03:38:35.346222Z,2025-12-03
WFC,1d,2025-12-02T00:00:00,85.69,86.79,85.28,86.32,9484000.0,normal,2026-01-01T03:38:35.346222Z,2025-12-02
WFC,1d,2025-12-01T00:00:00,85.83,86.56,85.17,85.4,9794023.0,normal,2026-01-01T03:38:35.346222Z,2025-12-01
WFC,1d,2025-11-28T00:00:00,85.64,86.52,85.31,85.85,6545001.0,normal,2026-01-01T03:38:35.346222Z,2025-11-28
WFC,1d,2025-11-26T00:00:00,85.42,86.39,85.13,85.56,9304300.0,normal,2026-01-01T03:38:35.346222Z,2025-11-26
WFC,1d,2025-11-25T00:00:00,84.53,85.54,83.61,85.1,12966444.0,normal,2026-01-01T03:38:35.346222Z,2025-11-25
WFC,1d,2025-11-24T00:00:00,83.09,85.09,82.41,84.66,27574500.0,normal,2026-01-01T03:38:35.346222Z,2025-11-24
WFC,1d,2025-11-21T00:00:00,82.77,83.63,81.05,83.11,16169513.0,normal,2026-01-01T03:38:35.346222Z,2025-11-21
WFC,1d,2025-11-20T00:00:00,85.06,86.04,82.32,82.4,12135845.0,normal,2026-01-01T03:38:35.346222Z,2025-11-20
WFC,1d,2025-11-19T00:00:00,83.98,84.82,83.61,84.16,10959600.0,normal,2026-01-01T03:38:35.346222Z,2025-11-19
WFC,1d,2025-11-18T00:00:00,83.42,84.76,82.93,83.86,14234108.0,normal,2026-01-01T03:38:35.346222Z,2025-11-18
WFC,1d,2025-11-17T00:00:00,84.69,85.05,82.54,83.42,14457100.0,normal,2026-01-01T03:38:35.346222Z,2025-11-17
WFC,1d,2025-11-14T00:00:00,84.45,85.35,82.96,85.05,15397300.0,normal,2026-01-01T03:38:35.346222Z,2025-11-14
WFC,1d,2025-11-13T00:00:00,86.16,86.89,84.47,84.7,15708000.0,normal,2026-01-01T03:38:35.346222Z,2025-11-13
WFC,1d,2025-11-12T00:00:00,86.31,88.64,85.94,86.26,16775234.0,normal,2026-01-01T03:38:35.346222Z,2025-11-12
WFC,1d,2025-11-11T00:00:00,86.11,87.06,86.05,86.19,13851500.0,normal,2026-01-01T03:38:35.346222Z,2025-11-11
WFC,1d,2025-11-10T00:00:00,86.29,87.0,85.45,86.1,13138552.0,normal,2026-01-01T03:38:35.346222Z,2025-11-10
WFC,1d,2025-11-07T00:00:00,85.11,86.09,84.04,86.04,15612100.0,normal,2026-01-01T03:38:35.346222Z,2025-11-07
WFC,1d,2025-11-06T00:00:00,86.9,87.34,85.52,86.04,16800200.0,normal,2026-01-01T03:38:35.346222Z,2025-11-06
WFC,1d,2025-11-05T00:00:00,87.38,88.3,85.91,86.95,15609717.0,normal,2026-01-01T03:38:35.346222Z,2025-11-05
WFC,1d,2025-11-04T00:00:00,87.0,88.5,85.88,87.13,16737700.0,normal,2026-01-01T03:38:35.346222Z,2025-11-04
WFC,1d,2025-11-03T00:00:00,87.14,87.89,85.85,87.3,12769342.0,normal,2026-01-01T03:38:35.346222Z,2025-11-03
WFC,1d,2025-10-31T00:00:00,85.48,87.35,85.01,86.97,14776738.0,normal,2026-01-01T03:38:35.346222Z,2025-10-31
WFC,1d,2025-10-30T00:00:00,86.08,87.26,85.88,85.99,14830000.0,normal,2026-01-01T03:38:35.346222Z,2025-10-30
WFC,1d,2025-10-29T00:00:00,86.82,87.24,85.67,86.0,16444400.0,normal,2026-01-01T03:38:35.346222Z,2025-10-29
