ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
WSM,1d,2025-12-15T00:00:00,188.75,190.73,185.26,185.43,1244300.0,normal,2026-01-01T03:46:40.516383Z,2025-12-15
WSM,1d,2025-12-12T00:00:00,189.97,191.81,183.18,187.59,1551000.0,normal,2026-01-01T03:46:40.516383Z,2025-12-12
WSM,1d,2025-12-11T00:00:00,189.25,190.98,186.68,189.28,1203805.0,normal,2026-01-01T03:46:40.516383Z,2025-12-11
WSM,1d,2025-12-10T00:00:00,180.565,188.99,180.49,187.0,1031600.0,normal,2026-01-01T03:46:40.516383Z,2025-12-10
WSM,1d,2025-12-09T00:00:00,178.49,182.38,178.49,180.48,1183300.0,normal,2026-01-01T03:46:40.516383Z,2025-12-09
WSM,1d,2025-12-08T00:00:00,179.64,181.98,178.51,179.45,1080300.0,normal,2026-01-01T03:46:40.516383Z,2025-12-08
WSM,1d,2025-12-05T00:00:00,177.17,181.6,176.83,179.36,1006000.0,normal,2026-01-01T03:46:40.516383Z,2025-12-05
WSM,1d,2025-12-04T00:00:00,178.2,179.58,175.22,176.66,1131824.0,normal,2026-01-01T03:46:40.516383Z,2025-12-04
WSM,1d,2025-12-03T00:00:00,179.0,181.21,178.15,178.34,1233022.0,normal,2026-01-01T03:46:40.516383Z,2025-12-03
WSM,1d,2025-12-02T00:00:00,182.61,183.56,176.4,178.06,1349908.0,normal,2026-01-01T03:46:40.516383Z,2025-12-02
WSM,1d,2025-12-01T00:00:00,177.63,184.72,176.52,182.44,1187207.0,normal,2026-01-01T03:46:40.516383Z,2025-12-01
WSM,1d,2025-11-28T00:00:00,180.32,181.7,178.3,180.01,431500.0,normal,2026-01-01T03:46:40.516383Z,2025-11-28
WSM,1d,2025-11-26T00:00:00,179.58,184.02,179.58,181.12,968974.0,normal,2026-01-01T03:46:40.516383Z,2025-11-26
WSM,1d,2025-11-25T00:00:00,175.53,181.67,174.63,179.58,1414208.0,normal,2026-01-01T03:46:40.516383Z,2025-11-25
WSM,1d,2025-11-24T00:00:00,178.21,178.47,173.15,173.73,2518318.0,normal,2026-01-01T03:46:40.516383Z,2025-11-24
WSM,1d,2025-11-21T00:00:00,173.49,182.13,172.96,177.93,2077443.0,normal,2026-01-01T03:46:40.516383Z,2025-11-21
WSM,1d,2025-11-20T00:00:00,176.17,180.59,172.45,172.55,2014446.0,normal,2026-01-01T03:46:40.516383Z,2025-11-20
WSM,1d,2025-11-19T00:00:00,180.0,188.32,170.13,174.62,3348500.0,normal,2026-01-01T03:46:40.516383Z,2025-11-19
WSM,1d,2025-11-18T00:00:00,177.7,182.13,176.14,180.75,1853800.0,normal,2026-01-01T03:46:40.516383Z,2025-11-18
WSM,1d,2025-11-17T00:00:00,181.06,184.22,179.73,181.32,1403600.0,normal,2026-01-01T03:46:40.516383Z,2025-11-17
WSM,1d,2025-11-14T00:00:00,184.31,186.27,181.73,182.24,1476371.0,normal,2026-01-01T03:46:40.516383Z,2025-11-14
WSM,1d,2025-11-13T00:00:00,191.26,194.49,186.21,186.47,777537.0,normal,2026-01-01T03:46:40.516383Z,2025-11-13
WSM,1d,2025-11-12T00:00:00,192.85,194.41,191.27,191.89,910407.0,normal,2026-01-01T03:46:40.516383Z,2025-11-12
WSM,1d,2025-11-11T00:00:00,194.63,194.79,190.96,191.49,664204.0,normal,2026-01-01T03:46:40.516383Z,2025-11-11
WSM,1d,2025-11-10T00:00:00,197.14,199.48,189.43,194.65,782307.0,normal,2026-01-01T03:46:40.516383Z,2025-11-10
WSM,1d,2025-11-07T00:00:00,192.05,198.1,191.95,196.95,752191.0,normal,2026-01-01T03:46:40.516383Z,2025-11-07
WSM,1d,2025-11-06T00:00:00,198.08,199.89,191.22,191.87,1041900.0,normal,2026-01-01T03:46:40.516383Z,2025-11-06
WSM,1d,2025-11-05T00:00:00,193.06,201.75,193.06,198.96,909343.0,normal,2026-01-01T03:46:40.516383Z,2025-11-05
WSM,1d,2025-11-04T00:00:00,190.13,194.78,189.41,193.99,912260.0,normal,2026-01-01T03:46:40.516383Z,2025-11-04
WSM,1d,2025-11-03T00:00:00,193.55,193.84,189.26,192.62,930719.0,normal,2026-01-01T03:46:40.516383Z,2025-11-03
WSM,1d,2025-10-31T00:00:00,197.38,199.04,193.72,194.34,1022100.0,normal,2026-01-01T03:46:40.516383Z,2025-10-31
WSM,1d,2025-10-30T00:00:00,194.3,201.21,191.46,198.28,1340361.0,normal,2026-01-01T03:46:40.516383Z,2025-10-30
WSM,1d,2025-10-29T00:00:00,197.89,203.63,194.41,195.49,1302708.0,normal,2026-01-01T03:46:40.516383Z,2025-10-29
WSM,1d,2025-10-28T00:00:00,197.09,203.78,194.74,199.63,1126654.0,normal,2026-01-01T03:46:40.516383Z,2025-10-28
WSM,1d,2025-10-27T00:00:00,191.37,194.93,191.2,192.86,720800.0,normal,2026-01-01T03:46:40.516383Z,2025-10-27
WSM,1d,2025-10-24T00:00:00,190.21,191.91,189.0,189.09,560200.0,normal,2026-01-01T03:46:40.516383Z,2025-10-24
WSM,1d,2025-10-23T00:00:00,187.36,188.61,185.13,188.03,684600.0,normal,2026-01-01T03:46:40.516383Z,2025-10-23
WSM,1d,2025-10-22T00:00:00,191.16,191.32,186.9,187.99,809233.0,normal,2026-01-01T03:46:40.516383Z,2025-10-22
WSM,1d,2025-10-21T00:00:00,188.74,191.45,187.3,190.91,848000.0,normal,2026-01-01T03:46:40.516383Z,2025-10-21
WSM,1d,2025-10-20T00:00:00,186.18,190.83,186.18,189.83,911500.0,normal,2026-01-01T03:46:40.516383Z,2025-10-20
WSM,1d,2025-10-17T00:00:00,186.68,188.65,184.72,185.36,752900.0,normal,2026-01-01T03:46:40.516383Z,2025-10-17
WSM,1d,2025-10-16T00:00:00,191.59,191.59,185.76,187.5,901519.0,normal,2026-01-01T03:46:40.516383Z,2025-10-16
WSM,1d,2025-10-15T00:00:00,192.62,193.79,190.01,190.06,597000.0,normal,2026-01-01T03:46:40.516383Z,2025-10-15
WSM,1d,2025-10-14T00:00:00,187.67,192.73,185.11,191.5,968639.0,normal,2026-01-01T03:46:40.516383Z,2025-10-14
WSM,1d,2025-10-13T00:00:00,184.88,190.56,184.03,190.0,882430.0,normal,2026-01-01T03:46:40.516383Z,2025-10-13
WSM,1d,2025-10-10T00:00:00,190.87,192.27,181.13,181.45,1936621.0,normal,2026-01-01T03:46:40.516383Z,2025-10-10
WSM,1d,2025-10-09T00:00:00,190.95,191.19,187.44,189.29,1271498.0,normal,2026-01-01T03:46:40.516383Z,2025-10-09
WSM,1d,2025-10-08T00:00:00,189.88,191.47,188.32,191.11,982403.0,normal,2026-01-01T03:46:40.516383Z,2025-10-08
WSM,1d,2025-10-07T00:00:00,195.87,196.09,188.84,189.06,1512633.0,normal,2026-01-01T03:46:40.516383Z,2025-10-07
WSM,1d,2025-10-06T00:00:00,199.0,199.1,195.51,196.15,969521.0,normal,2026-01-01T03:46:40.516383Z,2025-10-06
WSM,1d,2025-10-03T00:00:00,196.5,203.71,196.47,199.43,987830.0,normal,2026-01-01T03:46:40.516383Z,2025-10-03
WSM,1d,2025-10-02T00:00:00,195.4,196.17,192.97,196.14,823741.0,normal,2026-01-01T03:46:40.516383Z,2025-10-02
WSM,1d,2025-10-01T00:00:00,196.24,197.35,192.82,195.3,849700.0,normal,2026-01-01T03:46:40.516383Z,2025-10-01
WSM,1d,2025-09-30T00:00:00,192.0,197.24,192.0,195.45,1118842.0,normal,2026-01-01T03:46:40.516383Z,2025-09-30
WSM,1d,2025-09-29T00:00:00,196.97,197.51,191.38,191.98,1542825.0,normal,2026-01-01T03:46:40.516383Z,2025-09-29
