ticker,interval,ts,open,high,low,close,volume,trade_state,last_synced_at,date
WYNN,1d,2025-12-24T00:00:00,124.12,125.93,124.12,125.02,615000.0,normal,2025-12-26T06:59:31.746896Z,2025-12-24
WYNN,1d,2025-12-23T00:00:00,126.17,126.97,124.85,124.96,1096910.0,normal,2025-12-26T06:59:31.746896Z,2025-12-23
WYNN,1d,2025-12-22T00:00:00,128.1,128.74,125.8,125.98,1567600.0,normal,2025-12-26T06:59:31.746896Z,2025-12-22
WYNN,1d,2025-12-19T00:00:00,126.64,129.34,126.5,127.94,2134609.0,normal,2025-12-26T06:59:31.746896Z,2025-12-19
WYNN,1d,2025-12-18T00:00:00,126.99,128.48,125.61,126.51,1371038.0,normal,2025-12-26T06:59:31.746896Z,2025-12-18
WYNN,1d,2025-12-17T00:00:00,126.78,127.01,125.05,125.44,978057.0,normal,2025-12-26T06:59:31.746896Z,2025-12-17
WYNN,1d,2025-12-16T00:00:00,126.25,127.41,125.53,126.04,1310201.0,normal,2025-12-26T06:59:31.746896Z,2025-12-16
WYNN,1d,2025-12-15T00:00:00,124.15,127.06,121.38,126.25,1899141.0,normal,2025-12-26T06:59:31.746896Z,2025-12-15
WYNN,1d,2025-12-12T00:00:00,125.7,126.71,122.85,123.66,1020331.0,normal,2025-12-26T06:59:31.746896Z,2025-12-12
WYNN,1d,2025-12-11T00:00:00,123.3,126.71,122.54,124.85,1194100.0,normal,2025-12-26T06:59:31.746896Z,2025-12-11
WYNN,1d,2025-12-10T00:00:00,123.97,124.56,122.8401,123.605,808392.0,normal,2025-12-26T06:59:31.746896Z,2025-12-10
WYNN,1d,2025-12-09T00:00:00,127.1,127.69,123.33,124.22,1400498.0,normal,2025-12-26T06:59:31.746896Z,2025-12-09
WYNN,1d,2025-12-08T00:00:00,127.29,132.79,126.35,127.13,1816503.0,normal,2025-12-26T06:59:31.746896Z,2025-12-08
WYNN,1d,2025-12-05T00:00:00,125.8,126.9,124.81,125.51,856087.0,normal,2025-12-26T06:59:31.746896Z,2025-12-05
WYNN,1d,2025-12-04T00:00:00,129.78,129.78,123.34,125.72,2609901.0,normal,2025-12-26T06:59:31.746896Z,2025-12-04
WYNN,1d,2025-12-03T00:00:00,133.75,133.98,129.89,131.53,1137488.0,normal,2025-12-26T06:59:31.746896Z,2025-12-03
WYNN,1d,2025-12-02T00:00:00,133.22,133.73,130.82,133.09,1215100.0,normal,2025-12-26T06:59:31.746896Z,2025-12-02
WYNN,1d,2025-12-01T00:00:00,132.12,134.72,131.64,132.77,2831441.0,normal,2025-12-26T06:59:31.746896Z,2025-12-01
WYNN,1d,2025-11-28T00:00:00,129.61,130.0,128.35,128.68,861200.0,normal,2025-12-26T06:59:31.746896Z,2025-11-28
WYNN,1d,2025-11-26T00:00:00,127.24,130.26,126.99,129.46,1946615.0,normal,2025-12-26T06:59:31.746896Z,2025-11-26
WYNN,1d,2025-11-25T00:00:00,123.24,129.71,122.0,127.47,3599378.0,normal,2025-12-26T06:59:31.746896Z,2025-11-25
WYNN,1d,2025-11-24T00:00:00,120.28,126.43,120.25,123.24,2024600.0,normal,2025-12-26T06:59:31.746896Z,2025-11-24
WYNN,1d,2025-11-21T00:00:00,117.33,120.71,114.96,119.6,1757100.0,normal,2025-12-26T06:59:31.746896Z,2025-11-21
WYNN,1d,2025-11-20T00:00:00,118.68,121.23,116.93,117.14,1099400.0,normal,2025-12-26T06:59:31.746896Z,2025-11-20
WYNN,1d,2025-11-19T00:00:00,120.04,120.45,117.69,118.32,939339.0,normal,2025-12-26T06:59:31.746896Z,2025-11-19
WYNN,1d,2025-11-18T00:00:00,117.55,121.43,116.85,120.29,1401689.0,normal,2025-12-26T06:59:31.746896Z,2025-11-18
WYNN,1d,2025-11-17T00:00:00,119.85,121.49,116.72,118.14,1164558.0,normal,2025-12-26T06:59:31.746896Z,2025-11-17
WYNN,1d,2025-11-14T00:00:00,120.76,122.87,118.53,120.73,1212683.0,normal,2025-12-26T06:59:31.746896Z,2025-11-14
WYNN,1d,2025-11-13T00:00:00,124.57,126.03,122.86,123.01,1045248.0,normal,2025-12-26T06:59:31.746896Z,2025-11-13
WYNN,1d,2025-11-12T00:00:00,126.55,127.4,124.78,125.02,1414163.0,normal,2025-12-26T06:59:31.746896Z,2025-11-12
WYNN,1d,2025-11-11T00:00:00,127.41,130.82,125.21,126.07,1566600.0,normal,2025-12-26T06:59:31.746896Z,2025-11-11
WYNN,1d,2025-11-10T00:00:00,126.95,134.21,126.85,128.88,2400007.0,normal,2025-12-26T06:59:31.746896Z,2025-11-10
WYNN,1d,2025-11-07T00:00:00,120.11,126.87,119.6,126.14,3206100.0,normal,2025-12-26T06:59:31.746896Z,2025-11-07
WYNN,1d,2025-11-06T00:00:00,125.63,127.7,122.0,122.54,2896103.0,normal,2025-12-26T06:59:31.746896Z,2025-11-06
WYNN,1d,2025-11-05T00:00:00,121.67,126.63,121.21,125.19,1775525.0,normal,2025-12-26T06:59:31.746896Z,2025-11-05
WYNN,1d,2025-11-04T00:00:00,123.1,123.57,120.21,121.34,1375800.0,normal,2025-12-26T06:59:31.746896Z,2025-11-04
WYNN,1d,2025-11-03T00:00:00,121.09,126.29,120.25,125.73,2174200.0,normal,2025-12-26T06:59:31.746896Z,2025-11-03
WYNN,1d,2025-10-31T00:00:00,119.28,120.05,117.8,118.99,1703200.0,normal,2025-12-26T06:59:31.746896Z,2025-10-31
WYNN,1d,2025-10-30T00:00:00,119.04,121.95,119.04,119.77,1111819.0,normal,2025-12-26T06:59:31.746896Z,2025-10-30
WYNN,1d,2025-10-29T00:00:00,120.21,122.02,119.22,120.87,1251506.0,normal,2025-12-26T06:59:31.746896Z,2025-10-29
WYNN,1d,2025-10-28T00:00:00,124.44,124.98,120.65,120.85,1464204.0,normal,2025-12-26T06:59:31.746896Z,2025-10-28
WYNN,1d,2025-10-27T00:00:00,126.96,128.44,124.91,125.44,940632.0,normal,2025-12-26T06:59:31.746896Z,2025-10-27
WYNN,1d,2025-10-24T00:00:00,125.59,127.13,125.0,125.57,1213576.0,normal,2025-12-26T06:59:31.746896Z,2025-10-24
WYNN,1d,2025-10-23T00:00:00,124.0,126.87,123.24,125.4,2114920.0,normal,2025-12-26T06:59:31.746896Z,2025-10-23
WYNN,1d,2025-10-22T00:00:00,121.26,121.49,118.79,119.39,1109660.0,normal,2025-12-26T06:59:31.746896Z,2025-10-22
