,nav
2019-01-22,0.9983981522872895
2019-01-23,0.9974668454775741
2019-01-24,0.9974295932051854
2019-01-25,0.9988824318283415
2019-01-28,0.9981373863805691
2019-01-29,0.9979138727462374
2019-01-30,0.9989941886455074
2019-01-31,0.9978897054546334
2019-02-01,0.9984016254966601
2019-02-04,0.9998123600073641
2019-02-05,1.0019243089095622
2019-02-06,1.0023309783313177
2019-02-07,1.0025033275340607
2019-02-08,1.0040654607608535
2019-02-11,1.0042886982713533
2019-02-12,1.0095460160395646
2019-02-13,1.009632881792653
2019-02-14,1.0100084950205828
2019-02-15,1.0133160608575627
2019-02-19,1.0132781908679993
2019-02-20,1.0154339709820488
2019-02-21,1.0144754894150878
2019-02-22,1.0182699038556842
2019-02-25,1.0182263337468853
2019-02-26,1.0146047170357382
2019-02-27,1.0171604670552201
2019-02-28,1.0180167144177221
2019-03-01,1.0242498994742035
2019-03-04,1.0195514086122957
2019-03-05,1.017831797483281
2019-03-06,1.0131508192693683
2019-03-07,1.0120200311201875
2019-03-08,1.0119607363028709
2019-03-11,1.016961858329498
2019-03-12,1.0170110589658536
2019-03-13,1.0192050712439222
2019-03-14,1.0184713499202487
2019-03-15,1.0212627448408491
2019-03-18,1.02275459693166
2019-03-19,1.021120066517891
2019-03-20,1.0183072699370292
2019-03-21,1.0232000132856838
2019-03-22,1.015779032319488
2019-03-25,1.0182860272127399
2019-03-26,1.0210609997459674
2019-03-27,1.0198936195986632
2019-03-28,1.0213594092451963
2019-03-29,1.0231761525610488
2019-04-01,1.0274166589874214
2019-04-02,1.0259228440224613
2019-04-03,1.0280619206732375
2019-04-04,1.029481097303767
2019-04-05,1.0305011641882982
2019-04-08,1.0301748411780496
2019-04-09,1.026589023565016
2019-04-10,1.0276938863812322
2019-04-11,1.0284947349498492
2019-04-12,1.0281055298647814
2019-04-15,1.0314892156894597
2019-04-16,1.030399338177733
2019-04-17,1.0311866430305479
2019-04-18,1.0313877633442845
2019-04-22,1.0303666582163136
2019-04-23,1.0333584147061046
2019-04-24,1.0351818177873549
2019-04-25,1.0341406265076816
2019-04-26,1.0351036097727668
2019-04-29,1.033544715100822
2019-04-30,1.0324715099979918
2019-05-01,1.0321222715946488
2019-05-02,1.0325742271754457
2019-05-03,1.033647621679838
2019-05-06,1.0331597150869323
2019-05-07,1.0312543114451642
2019-05-08,1.0318654786510144
2019-05-09,1.0311156432556015
2019-05-10,1.0311002356789833
2019-05-13,1.0279622259077694
2019-05-14,1.0279622259077694
2019-05-15,1.0279622259077694
2019-05-16,1.0279622259077694
2019-05-17,1.0279622259077694
2019-05-20,1.0279622259077694
2019-05-21,1.0279622259077694
2019-05-22,1.0279622259077694
2019-05-23,1.0279622259077694
2019-05-24,1.0279622259077694
2019-05-28,1.0279622259077694
2019-05-29,1.0279622259077694
2019-05-30,1.0279622259077694
2019-05-31,1.0279622259077694
2019-06-03,1.0279622259077694
2019-06-04,1.0279622259077694
2019-06-05,1.0279622259077694
2019-06-06,1.0279622259077694
