symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
CSX,2019-01-18,2019-01-22,2019-03-06,22.37,24.02,0.00372522723886157,0.07375949932945902,0.07375949932945902,0.08333333333333333,7.375949932945902
SYK,2019-01-30,2019-01-31,2019-03-15,178.34,194.04,0.000466802263768414,0.08803409218346969,0.08803409218346969,0.08324951572045895,8.80340921834697
MSI,2019-02-08,2019-02-11,2019-03-26,135.38,140.4,0.0006180537873398664,0.03708080957305371,0.037080809573053486,0.08367212173007112,3.7080809573053486
CRL,2019-02-13,2019-02-14,2019-03-29,139.86,145.25,0.0006015735269749826,0.03853853853853839,0.03853853853853839,0.08413607348272108,3.853853853853839
CSGP,2019-02-27,2019-02-28,2019-04-11,45.64,48.16,0.0018572167452804926,0.05521472392638027,0.05521472392638027,0.08476337225460168,5.521472392638027
ULTA,2019-03-15,2019-03-18,2019-04-30,338.6,348.98,0.00025134444399508985,0.030655640874187817,0.030655640874187817,0.08510522873673743,3.0655640874187817
LULU,2019-03-28,2019-03-29,2019-05-13,165.91,167.57,0.0005135858872690608,0.010005424627810289,0.010005424627810289,0.08520903455680988,1.0005424627810289
LEN,2020-01-08,2020-01-09,2020-02-24,58.12,69.16,0.0014739077568074234,0.18995182381280107,0.18995182381280085,0.08566351882564745,18.995182381280085
BLK,2020-01-15,2020-01-16,2020-03-02,536.91,487.94,0.0001606174490963818,-0.09120709243634872,-0.09120709243634872,0.08623711459433835,-9.120709243634872
AAPL,2020-01-29,2020-01-30,2020-03-13,80.14,69.49,0.0010836585095976923,-0.13289243823309216,-0.13289243823309216,0.08684439295915906,-13.289243823309215
DECK,2020-01-31,2020-02-03,2020-03-17,32.01,18.46,0.002695982571915057,-0.4233052171196501,-0.42330521711964997,0.08629840212700096,-42.330521711965
CAH,2020-02-06,2020-02-07,2020-03-23,59.09,41.0,0.0014763568715457109,-0.30614317143340675,-0.30614317143340675,0.08723792753963606,-30.614317143340674
AMCR,2020-02-11,2020-02-12,2020-03-26,10.76,8.13,0.008158569029482974,-0.24442379182156126,-0.24442379182156126,0.08778620275723681,-24.442379182156127
STE,2020-02-11,2020-02-12,2020-03-26,163.0,129.61,0.0005385656610873424,-0.20484662576687107,-0.20484662576687096,0.08778620275723681,-20.484662576687096
GDDY,2020-02-14,2020-02-18,2020-03-31,76.5,57.11,0.0011491654846424442,-0.25346405228758173,-0.25346405228758184,0.08791115957514699,-25.346405228758183
