,gross_exposure
2024-02-01,0.08446784710664886
2024-02-02,0.2536788413674389
2024-02-05,0.33697734670665325
2024-02-06,0.33689459955809287
2024-02-07,0.42111265168132556
2024-02-08,0.4209306350598081
2024-02-09,0.4242787819471152
2024-02-12,0.422856785168644
2024-02-13,0.4207689749388344
2024-02-14,0.5901664144196009
2024-02-15,0.5918678538905507
2024-02-16,0.5926324645448953
2024-02-20,0.5923842200743947
2024-02-21,0.5938774922828189
2024-02-22,0.6795486836948159
2024-02-23,0.681133808303653
2024-02-26,0.6802367345774278
2024-02-27,0.6806879445831405
2024-02-28,0.6816682669089172
2024-02-29,0.8483483598236912
2024-03-01,0.8496495835054193
2024-03-04,0.8507322576439257
2024-03-05,0.8503395422588148
2024-03-06,0.8517197183233781
2024-03-07,0.8514945962961254
2024-03-08,0.8511298486257125
2024-03-11,0.8504088637069198
2024-03-12,0.8516674568591756
2024-03-13,0.8518315679507091
2024-03-14,0.8516153020146177
2024-03-15,0.7708942152908106
2024-03-18,0.6013556710594832
2024-03-19,0.5160919306754856
2024-03-20,0.5182081326768107
2024-03-21,0.43578812904647274
2024-03-22,0.43502256307180753
2024-03-25,0.4352223965777857
2024-03-26,0.43376791822050875
2024-03-27,0.43520079288772506
2024-03-28,0.26878004868220656
2024-04-01,0.2696966720936973
2024-04-02,0.26674763664783896
2024-04-03,0.27046301868799627
2024-04-04,0.26758392538073217
2024-04-05,0.1846652553847234
2024-04-08,0.18616321945900177
2024-04-09,0.18495114048994765
2024-04-10,0.18688813950346056
2024-04-11,0.18974327745180541
2024-04-12,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.08329095431387598
2024-04-18,0.08344350044837247
2024-04-19,0.08378231015904408
2024-04-22,0.08499150915534555
2024-04-23,0.08639961665699095
2024-04-24,0.08647537962553442
2024-04-25,0.08538824158894456
2024-04-26,0.08561599616328186
2024-04-29,0.2513696344466497
2024-04-30,0.24915524026800892
2024-05-01,0.24728868977375243
2024-05-02,0.331897704684896
2024-05-03,0.33545917879713333
2024-05-06,0.34018902005882035
2024-05-07,0.3408206857986236
2024-05-08,0.42477948172542174
2024-05-09,0.5095175954096954
2024-05-10,0.5131723206071497
2024-05-13,0.5125042782944703
2024-05-14,0.5156686194263693
2024-05-15,0.5216264218856319
2024-05-16,0.5199040001180947
2024-05-17,0.6030482405525593
2024-05-20,0.604511537797386
2024-05-21,0.6048242757447231
2024-05-22,0.6053489905275683
2024-05-23,0.6024780208185965
2024-05-24,0.6883441309028602
2024-05-28,0.6898436811646516
2024-05-29,0.6891278873831242
2024-05-30,0.6008209646021094
2024-05-31,0.6011678528764813
2024-06-03,0.6036555769327312
2024-06-04,0.6044975408073768
2024-06-05,0.6108558263672136
2024-06-06,0.6094049167625778
2024-06-07,0.608540392212733
2024-06-10,0.6113931221980624
2024-06-11,0.43932195332539714
2024-06-12,0.44105183016568683
2024-06-13,0.44633825719879855
2024-06-14,0.36121628872060135
2024-06-17,0.4448224890169472
2024-06-18,0.44656550217339785
2024-06-20,0.44529090165687496
2024-06-21,0.3554700742785286
2024-06-24,0.26116244746739
2024-06-25,0.2646315051205415
2024-06-26,0.2658107024184033
2024-06-27,0.2661995502906498
2024-06-28,0.2668169725966677
2024-07-01,0.2675530191714527
2024-07-02,0.18358740038615304
2024-07-03,0.18737558798071152
2024-07-05,0.18691709519874494
2024-07-08,0.1879999334694551
2024-07-09,0.188753386096992
2024-07-10,0.08883818390223376
2024-07-11,0.08784490309531934
2024-07-12,0.08804890317267244
2024-07-15,0.08900447595424542
2024-07-16,0.08912342353630713
2024-07-17,0.0886287989743346
2024-07-18,0.08773280787445663
2024-07-19,0.08689121472348459
2024-07-22,0.08744094367803812
2024-07-23,0.0861721148345532
2024-07-24,0.16894081037131747
2024-07-25,0.16993613900201926
2024-07-26,0.2550287227108656
2024-07-29,0.25254400080882855
2024-07-30,0.2540057969118447
2024-07-31,0.25231504588395814
2024-08-01,0.2510461594755673
2024-08-02,0.24642647752725777
2024-08-05,0.2443818580173557
2024-08-06,0.24541266731771472
2024-08-07,0.32829866794817897
2024-08-08,0.41825829233583844
2024-08-09,0.5012832368134699
2024-08-12,0.5019640522975545
2024-08-13,0.5049488890160859
2024-08-14,0.5069677074798585
2024-08-15,0.5092093425259945
2024-08-16,0.5092425672266059
2024-08-19,0.5112782012664764
2024-08-20,0.5079883310087833
2024-08-21,0.5085976153697239
2024-08-22,0.5069849625305208
2024-08-23,0.5096615566146625
2024-08-26,0.5094082705346453
2024-08-27,0.5093435294282542
2024-08-28,0.5079854287156272
2024-08-29,0.5112198860771097
2024-08-30,0.514130383958395
2024-09-03,0.5084190390198464
2024-09-04,0.508732006877144
2024-09-05,0.4133868501755425
2024-09-06,0.41083622293904554
2024-09-09,0.3285220274754655
2024-09-10,0.32590372585870825
2024-09-11,0.40997016851666
2024-09-12,0.34050150569295806
2024-09-13,0.3458799399129746
2024-09-16,0.34866114728980035
2024-09-17,0.35038996605248707
2024-09-18,0.3495569636231823
2024-09-19,0.26188007930800544
2024-09-20,0.1709120534204726
2024-09-23,0.08648324160531606
2024-09-24,0.08641182545572866
2024-09-25,0.08664031783912991
2024-09-26,0.08750564750789296
2024-09-27,0.087809549722297
2024-09-30,0.08859685346684396
2024-10-01,0.08705892383147247
2024-10-02,0.08732035778157979
2024-10-03,0.08691626035742135
2024-10-04,0.0888147815531629
2024-10-07,0.08839304379310617
2024-10-08,0.0904742422434202
2024-10-09,0.0923204128093175
2024-10-10,0.09096477412483887
2024-10-11,0.09113445036790124
2024-10-14,0.09129935266587763
2024-10-15,0.0903420855023284
2024-10-16,0.09066297098952011
2024-10-17,0.09109203724571967
2024-10-18,0.09062523150642597
2024-10-21,0.0901862800296956
2024-10-22,0.09091763059117823
2024-10-23,0.0
2024-10-24,0.08370709711462355
2024-10-25,0.1645062280109545
2024-10-28,0.24780727527036675
2024-10-29,0.24761100650233545
2024-10-30,0.24624310318012207
2024-10-31,0.4930686768140417
2024-11-01,0.7433526080806909
2024-11-04,0.744006995370913
2024-11-05,0.7469724436321905
2024-11-06,0.7522519418665985
2024-11-07,0.7542731531973625
2024-11-08,0.754477755072542
2024-11-11,0.839765108841325
2024-11-12,0.8403783014255958
2024-11-13,0.8398281309007121
2024-11-14,0.8382942347554283
2024-11-15,0.8364281090489247
2024-11-18,0.8366949050483915
2024-11-19,0.8368682774082424
2024-11-20,0.8373300090029645
2024-11-21,0.8385263659027191
2024-11-22,0.8391728203952442
2024-11-25,0.8399275168240832
2024-11-26,0.8412725005835167
2024-11-27,0.8404981663505002
2024-11-29,0.8407417770294663
2024-12-02,0.8418572981213185
2024-12-03,0.8418579853977823
2024-12-04,0.8434347576780663
2024-12-05,0.8428196749701379
2024-12-06,0.7604275630992949
2024-12-09,0.6807499419900007
2024-12-10,0.5900724018394177
2024-12-11,0.5953039971222962
2024-12-12,0.5939657039541266
2024-12-13,0.3384282542041143
2024-12-16,0.08578207884859615
2024-12-17,0.08535044996205476
2024-12-18,0.0819310341337606
2024-12-19,0.08312993053807069
2024-12-20,0.08500645387850886
2024-12-23,0.08438981392799101
2024-12-24,0.0
