,nav
2024-02-01,1.0012391850681923
2024-02-02,1.004652568780312
2024-02-05,1.0045997952686028
2024-02-06,1.0044744339482947
2024-02-07,1.0060095813448802
2024-02-08,1.005693366265484
2024-02-09,1.0115420461616935
2024-02-12,1.0090497539645988
2024-02-13,1.005412682903891
2024-02-14,1.0121118742782071
2024-02-15,1.0163312113442273
2024-02-16,1.0182388195969774
2024-02-20,1.0176186960172178
2024-02-21,1.0213603791021493
2024-02-22,1.0288117312795795
2024-02-23,1.0339260859386166
2024-02-26,1.031025477811136
2024-02-27,1.0324823880775706
2024-02-28,1.035661981661205
2024-02-29,1.0357536724250167
2024-03-01,1.0447177128209064
2024-03-04,1.0522952967774757
2024-03-05,1.0495340293126996
2024-03-06,1.0593029731656736
2024-03-07,1.0576971566307456
2024-03-08,1.0551056863439077
2024-03-11,1.0500203898053762
2024-03-12,1.058929752810655
2024-03-13,1.0601026215195137
2024-03-14,1.0585575559641793
2024-03-15,1.0673860374634263
2024-03-18,1.0730586337545904
2024-03-19,1.077333864976509
2024-03-20,1.0820659001887785
2024-03-21,1.0845249030860167
2024-03-22,1.08305533047973
2024-03-25,1.0834385445847985
2024-03-26,1.0806555198053018
2024-03-27,1.08339710282953
2024-03-28,1.0848219014791995
2024-04-01,1.086183490717803
2024-04-02,1.0818150170859022
2024-04-03,1.0873244788242573
2024-04-04,1.0830502571921956
2024-04-05,1.0901390436357516
2024-04-08,1.0921455751201716
2024-04-09,1.0905214188903911
2024-04-10,1.093119264297929
2024-04-11,1.0969711376693074
2024-04-12,1.0922232676244383
2024-04-15,1.0922232676244383
2024-04-16,1.0922232676244383
2024-04-17,1.092172774666691
2024-04-18,1.0923545493145814
2024-04-19,1.0927584929765601
2024-04-22,1.0942025915681344
2024-04-23,1.0958890563568957
2024-04-24,1.095979943680841
2024-04-25,1.0946772253709594
2024-04-26,1.0949498873427952
2024-04-29,1.0936144882307182
2024-04-30,1.090389196284511
2024-05-01,1.0876852824923229
2024-05-02,1.08976212025663
2024-05-03,1.0956024831898892
2024-05-06,1.1034562867623312
2024-05-07,1.104513685738151
2024-05-08,1.1057146720946032
2024-05-09,1.1088815262581129
2024-05-10,1.1172061499936845
2024-05-13,1.1156751807011327
2024-05-14,1.1229643570909635
2024-05-15,1.1369500789502536
2024-05-16,1.132871087321353
2024-05-17,1.1323314301140277
2024-05-20,1.1365210275872093
2024-05-21,1.1374204584769556
2024-05-22,1.1389327346768092
2024-05-23,1.130707173442316
2024-05-24,1.139896247433771
2024-05-28,1.1454074416685782
2024-05-29,1.1427701014544307
2024-05-30,1.1359413223143178
2024-05-31,1.1369293187131218
2024-06-03,1.144065451459812
2024-06-04,1.1465009907541206
2024-06-05,1.1652338439940857
2024-06-06,1.1609054511175423
2024-06-07,1.1583416329289618
2024-06-10,1.1668449201795696
2024-06-11,1.1677839786043378
2024-06-12,1.1713981284809671
2024-06-13,1.1825827747265392
2024-06-14,1.185307572049012
2024-06-17,1.1858901447775938
2024-06-18,1.1896250440882978
2024-06-20,1.186891545214397
2024-06-21,1.1834279009131206
2024-06-24,1.1729342697463643
2024-06-25,1.1784675182244273
2024-06-26,1.1803602803740334
2024-06-27,1.1809857645689386
2024-06-28,1.1819802869826899
2024-07-01,1.1831680760847938
2024-07-02,1.1840119899993047
2024-07-03,1.189531464268086
2024-07-05,1.1888606943046929
2024-07-08,1.1904460930151102
2024-07-09,1.191551730587399
2024-07-10,1.194459882568842
2024-07-11,1.193159189210869
2024-07-12,1.1934260944953086
2024-07-15,1.1946779178716236
2024-07-16,1.194833925889993
2024-07-17,1.1941854588256857
2024-07-18,1.1930125792658954
2024-07-19,1.1919130046785917
2024-07-22,1.1926310174860277
2024-07-23,1.1909750769536953
2024-07-24,1.1901659052946703
2024-07-25,1.191593031876715
2024-07-26,1.194406979947862
2024-07-29,1.19043648645228
2024-07-30,1.1927691794002688
2024-07-31,1.195540602464157
2024-08-01,1.1935151035093965
2024-08-02,1.1861984183893766
2024-08-05,1.1829886960519933
2024-08-06,1.1846047260292991
2024-08-07,1.1838158152312404
2024-08-08,1.1972999922175072
2024-08-09,1.196559624133281
2024-08-12,1.1981953219649308
2024-08-13,1.2054196616616242
2024-08-14,1.2103554914368266
2024-08-15,1.2158836636759882
2024-08-16,1.2159659800465743
2024-08-19,1.2210307464366186
2024-08-20,1.2128662393942002
2024-08-21,1.2143700587786581
2024-08-22,1.2103978527113046
2024-08-23,1.2170050110439403
2024-08-26,1.2163766873073283
2024-08-27,1.2162161889194585
2024-08-28,1.2128590849447363
2024-08-29,1.220885068171131
2024-08-30,1.2281985187078295
2024-09-03,1.2139289152240647
2024-09-04,1.2147022624333834
2024-09-05,1.207762974773602
2024-09-06,1.2025342875076306
2024-09-09,1.2083252204061148
2024-09-10,1.2036318850480636
2024-09-11,1.2051273920737313
2024-09-12,1.2055867237082012
2024-09-13,1.2154995352632043
2024-09-16,1.2206897005050532
2024-09-17,1.2239383437638827
2024-09-18,1.222370883499639
2024-09-19,1.2307425494097053
2024-09-20,1.2268614338918895
2024-09-23,1.2276288184409214
2024-09-24,1.2275328534035244
2024-09-25,1.2278399415231949
2024-09-26,1.2290043173102783
2024-09-27,1.2294137681365056
2024-09-30,1.2304757812170322
2024-10-01,1.2284029364092572
2024-10-02,1.2287548082130462
2024-10-03,1.2282110063344631
2024-10-04,1.2307700739983831
2024-10-07,1.2302006814431607
2024-10-08,1.2330156558734726
2024-10-09,1.2355235421841142
2024-10-10,1.2336810134660918
2024-10-11,1.2339113295558446
2024-10-14,1.2341352479764376
2024-10-15,1.2328365211369983
2024-10-16,1.2332715626398647
2024-10-17,1.2338537505334064
2024-10-18,1.2332203812865863
2024-10-21,1.2326253980547248
2024-10-22,1.2336170367744939
2024-10-23,1.2322031518901781
2024-10-24,1.2327057781878588
2024-10-25,1.2289667605052332
2024-10-28,1.2289140100459803
2024-10-29,1.2285934345978375
2024-10-30,1.2263638071835792
2024-10-31,1.218684262784027
2024-11-01,1.2200325039011095
2024-11-04,1.2231512366390118
2024-11-05,1.2374864013935494
2024-11-06,1.2638571722503822
2024-11-07,1.274252953054388
2024-11-08,1.2753148305381377
2024-11-11,1.2908669442037914
2024-11-12,1.2958258567108962
2024-11-13,1.291374855447358
2024-11-14,1.2791252308907355
2024-11-15,1.2645322072280303
2024-11-18,1.2665981080756756
2024-11-19,1.267944217216749
2024-11-20,1.2715432209533675
2024-11-21,1.2809640747926228
2024-11-22,1.2861129867050738
2024-11-25,1.2921766452358368
2024-11-26,1.3031259552706467
2024-11-27,1.2967996641302224
2024-11-29,1.298783324633078
2024-12-02,1.307944798258879
2024-12-03,1.3079504825147534
2024-12-04,1.3211228829417458
2024-12-05,1.3159530257080774
2024-12-06,1.3213018552213398
2024-12-09,1.3068443050367824
2024-12-10,1.3171811603823678
2024-12-11,1.3342086543441383
2024-12-12,1.3298110890536936
2024-12-13,1.3189073806593976
2024-12-16,1.3158554477665307
2024-12-17,1.3152344872885584
2024-12-18,1.310335799073442
2024-12-19,1.3120491900219218
2024-12-20,1.3147400187598024
2024-12-23,1.3138545751152861
2024-12-24,1.3154529733826599
