symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
SYK,2024-01-31,2024-02-01,2024-03-15,335.57,352.23,0.00024833368100048674,0.049646869505617364,0.049646869505617586,0.08333333333333333,4.964686950561759
ETN,2024-02-01,2024-02-02,2024-03-18,266.13,298.75,0.00031351820071274454,0.1225716754969377,0.1225716754969377,0.0834365987556827,12.25716754969377
PH,2024-02-01,2024-02-02,2024-03-18,499.59,536.26,0.00016701014583094678,0.0734001881542865,0.0734001881542865,0.0834365987556827,7.3400188154286505
HIG,2024-02-02,2024-02-05,2024-03-19,89.84,100.4,0.0009318905543005269,0.11754229741763145,0.11754229741763145,0.08372104739835934,11.754229741763144
SPG,2024-02-06,2024-02-07,2024-03-21,144.0,155.81,0.0005812930752015595,0.08201388888888883,0.08201388888888883,0.08370620282902456,8.201388888888882
HWM,2024-02-13,2024-02-14,2024-03-28,62.57,68.43,0.0013390505073036746,0.0936551062809654,0.0936551062809654,0.08378439024199091,9.36551062809654
WM,2024-02-13,2024-02-14,2024-03-28,199.07,213.15,0.000420879038740096,0.07072888933540966,0.07072888933540966,0.08378439024199091,7.072888933540966
CSGP,2024-02-21,2024-02-22,2024-04-05,84.37,94.75,0.0010088107730849723,0.12302951286002117,0.1230295128600214,0.08511336492517911,12.30295128600214
AXON,2024-02-28,2024-02-29,2024-04-12,309.22,310.81,0.00027910602528437273,0.005141970118362149,0.005141970118362371,0.08630516513843374,0.5141970118362371
NRG,2024-02-28,2024-02-29,2024-04-12,54.7,73.93,0.001577790953170635,0.3515539305301645,0.3515539305301647,0.08630516513843374,35.15539305301647
MS,2024-04-16,2024-04-17,2024-05-30,90.13,97.23,0.001009859154946964,0.07877510262953513,0.07877510262953513,0.09101860563536986,7.877510262953513
KLAC,2024-04-26,2024-04-29,2024-06-11,706.41,798.16,0.00012916836390372864,0.12988207981200728,0.12988207981200728,0.09124582394523294,12.988207981200727
WDC,2024-04-26,2024-04-29,2024-06-11,53.72,57.82,0.0016985447495389602,0.07632166790766948,0.07632166790766948,0.09124582394523294,7.632166790766948
VRSK,2024-05-01,2024-05-02,2024-06-14,234.0,264.37,0.00038735230857988705,0.1297863247863249,0.12978632478632468,0.09064044020769357,12.978632478632468
VRTX,2024-05-07,2024-05-08,2024-06-21,413.33,468.71,0.0002226860066891973,0.13398495149154432,0.13398495149154432,0.09204280714484592,13.398495149154432
ANET,2024-05-08,2024-05-09,2024-06-24,73.02,82.3,0.0012618856387457812,0.1270884689126266,0.12708846891262682,0.09214288934121694,12.70884689126268
WMT,2024-05-16,2024-05-17,2024-07-02,64.24,68.07,0.0014695816305019629,0.059620174346201704,0.059620174346201704,0.09440592394344609,5.96201743462017
NVDA,2024-05-23,2024-05-24,2024-07-10,104.45,134.91,0.0009021119941298197,0.29162278602201996,0.29162278602201996,0.09422559778685967,29.162278602201997
ADBE,2024-06-14,2024-06-17,2024-07-31,525.51,551.65,0.0001879614679151383,0.04974215523967196,0.04974215523967174,0.09877563100408433,4.974215523967174
LMT,2024-07-23,2024-07-24,2024-09-05,505.0,568.59,0.00019653054075143486,0.12592079207920803,0.1259207920792078,0.09924792307947461,12.592079207920781
NOW,2024-07-25,2024-07-26,2024-09-09,825.85,855.58,0.00012023904985537274,0.035999273475812776,0.035999273475812776,0.09929941932305958,3.5999273475812776
PSX,2024-07-30,2024-07-31,2024-09-12,149.03,125.72,0.0006683225976845214,-0.1564114607797088,-0.1564114607797088,0.09960011673292422,-15.64114607797088
UBER,2024-08-06,2024-08-07,2024-09-19,65.56,75.28,0.0015057513804521293,0.14826113483831604,0.14826113483831604,0.0987170605024416,14.826113483831605
GPN,2024-08-07,2024-08-08,2024-09-20,100.42,110.69,0.000982387153315442,0.10227046405098572,0.10227046405098594,0.09865131793593669,10.227046405098594
CF,2024-08-08,2024-08-09,2024-09-23,79.67,83.27,0.0012523534498739667,0.04518639387473322,0.04518639387473322,0.09977499935145893,4.518639387473322
ORCL,2024-09-10,2024-09-11,2024-10-23,156.78,173.1,0.0006397669159799633,0.10409491006505922,0.10409491006505922,0.10030265708733864,10.409491006505922
APH,2024-10-23,2024-10-24,2024-12-06,69.46,74.21,0.001478312640236801,0.06838468183126989,0.06838468183126989,0.10268359599084818,6.838468183126989
TMUS,2024-10-24,2024-10-25,2024-12-09,233.55,228.86,0.0004398436374037889,-0.020081353029329896,-0.020081353029329785,0.1027254815156549,-2.0081353029329785
DECK,2024-10-25,2024-10-28,2024-12-10,168.65,202.12,0.0006072570216944526,0.1984583456863327,0.1984583456863327,0.10241389670876944,19.84583456863327
EA,2024-10-30,2024-10-31,2024-12-13,148.31,157.62,0.0006890768251093313,0.06277391949295397,0.06277391949295397,0.10219698393196493,6.277391949295397
GOOG,2024-10-30,2024-10-31,2024-12-13,174.72,191.38,0.0005849186351417407,0.0953525641025641,0.0953525641025641,0.10219698393196493,9.535256410256409
GOOGL,2024-10-30,2024-10-31,2024-12-13,173.13,189.82,0.0005902904403163226,0.09640154796973377,0.09640154796973377,0.10219698393196493,9.640154796973377
BKNG,2024-10-31,2024-11-01,2024-12-16,4669.0,5152.13,2.1751343306632883e-05,0.10347611908331555,0.10347611908331555,0.10155702189866893,10.347611908331555
GEN,2024-10-31,2024-11-01,2024-12-16,28.78,29.73,0.0035287359936994065,0.033009034051424635,0.033009034051424635,0.10155702189866893,3.3009034051424635
PAYC,2024-10-31,2024-11-01,2024-12-16,207.73,232.06,0.0004888895291901455,0.11712318875463357,0.11712318875463334,0.10155702189866893,11.712318875463335
FTNT,2024-11-08,2024-11-11,2024-12-24,92.42,97.81,0.00114992681106014,0.05832070980307291,0.05832070980307291,0.10627623587817814,5.832070980307291
