symbol,year,quarter,category,company_name,sector,success,error,time_seconds,prediction,confidence,direction_score,actual_return_30d_pct,correct,trade_long,trade_long_tier,summary,input_tokens,output_tokens,cost_usd,risk_code,long_block_reason,eps_surprise,earnings_day_return,pre_earnings_5d_return,computed_positives,computed_vetoes,le_DirectionScore,le_LongEligible,le_HardPositivesCount,le_HardVetoCount,le_GuidanceRaised,le_DemandAcceleration,le_MarginExpansion,le_FCFImprovement,le_VisibilityImproving,le_GuidanceCut,le_DemandSoftness,le_MarginWeakness,le_CashBurn,le_VisibilityWorsening,le_PricedInRisk,reaction_date
QCOM,2018,4,LOSER,Qualcomm,Technology,True,,82.05858159065247,DOWN,0.3,3.0,-15.1242,True,False,,"**PART 1 - Analysis:**
Management tone is Moderately optimistic — they pushed a constructive message around China recovery, 5G design wins and an expanding auto order pipeline, but repeatedly flagged licensing disputes and the cadence of royalty collections as risks. Main upside drivers: better-than-expected EPS/revenue, stronger QCT shipments and high-margin QTL licensing this quarter, and management pointing to 5G/auto order momentum; main downside drivers: a large negative swing in operating ",5239,1487,0.004284,high,HIGH_RISK,0.0843373493975904,-8.1633,0.51,1,1,3.0,NO,1.0,1.0,NO,UNKNOWN,UNKNOWN,NO,YES,NO,NO,NO,YES,NO,High,2018-11-07
ANET,2017,1,GAINER,Arista Networks,Technology,True,,79.4962739944458,UP,0.6,6.0,11.758,True,False,,"**PART 1 - Analysis:**
Management’s tone is ""Moderately optimistic"": they reported strong revenue and margin beats and gave growth guidance, but repeatedly flagged legal expenses and took a more guarded phrasing than in prior, more loudly bullish quarters. Main upside drivers: resilient 38.5% YoY revenue growth, strong non‑GAAP gross margin (64.2%) and operating margin (30.2%), and a modest EPS beat with a positive intraday market reaction (+3.31%). Main downside drivers: recurring/legal expense",5163,1618,0.004527,low,HAS_VETOES,0.0952380952380953,3.3105,0.34,1,1,6.0,NO,1.0,1.0,UNKNOWN,UNKNOWN,YES,UNKNOWN,NO,NO,NO,NO,NO,YES,Low,2017-02-16
J,2017,4,GAINER,Jacobs Solutions,Industrials,True,,95.9232029914856,UP,0.6,6.0,14.8329,True,True,D6_STRICT,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — the call emphasized strong backlog gains, margin improvement and explicit accretion from the CH2M acquisition (management raised FY2018 accretion expectations), while remaining aware of segment weaknesses. Main upside drivers: sizeable sequential and YoY backlog growth (especially Aerospace & Technology and Industrial), margin expansion (gross margin +150 bps YoY), a clear EPS beat, stronger cash/working-capital metrics and explicit",5282,1905,0.00513,medium,,0.1951219512195122,9.3113,11.93,5,0,6.0,NO,5.0,0.0,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,Medium,2017-11-21
TPR,2018,3,LOSER,"Tapestry, Inc.",Consumer Cyclical,True,,95.17974519729614,DOWN,0.3,3.0,-15.4361,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — management highlighted synergy targets and a more confident outlook versus prior quarters but did not provide an explicit, material lift to forward guidance in the call notes. Main upside drivers: strong top‑line beat (revenue +33% YoY, constant‑currency +30%) and an EPS beat ($0.54 vs $0.50 est). Main downside drivers: margin compression (gross margin 69% vs 70.9% prior year; operating margin down to 13.9%), brand-level underperfor",5355,1791,0.004921,high,HIGH_RISK,0.08,-11.7352,-10.72,0,2,3.0,NO,0.0,2.0,NO,NO,NO,NO,UNKNOWN,NO,NO,YES,YES,NO,High,2018-08-14
MO,2017,3,GAINER,Altria,Consumer Defensive,True,,90.72818899154665,UP,0.6,6.0,12.1492,True,False,,"**PART 1 - Analysis:**
Management tone: Balanced. The call showed a modest EPS beat and the stock rallied ~3% on the day, but there is no evidence of an explicit guidance raise or durable forward catalysts; commentary (not provided) appears neutral rather than overtly bullish or cautious. Main upside drivers: the in-quarter beat (EPS +0.03 vs est) and positive earnings-day price reaction indicating short-term buyer interest. Main downside drivers: the surprise was small, guidance was not reporte",3233,1208,0.003224,low,D6_POSITIVES_LOW,0.0344827586206896,3.1353,2.21,0,0,6.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Low,2017-07-27
TER,2018,4,GAINER,Teradyne,Technology,True,,93.64296913146973,DOWN,0.5,5.0,21.3592,False,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — management highlighted record shipments, strong margins, and growth initiatives (wafer test share, new DRAM platform, IA expansion), but also signaled increased investment, pushed some EPS timing targets out and acknowledged macro headwinds. Upside drivers: clear EPS beat, record gross margins (60% Q4; 58% FY), strong free cash flow and buybacks, segment-level acceleration in SOC and Memory. Downside drivers: large pre-earnings run-",5174,1844,0.004981,medium,HAS_VETOES,0.26,12.8719,13.65,3,1,5.0,NO,3.0,1.0,NO,YES,YES,YES,UNKNOWN,NO,YES,NO,NO,UNKNOWN,Medium,2018-10-23
HII,2018,3,LOSER,Huntington Ingalls Industries,Industrials,True,,88.40956807136536,DOWN,0.3,3.0,-24.372,True,False,,"**PART 1 - Analysis:**
Management tone reads as Moderately cautious — despite an EPS beat, the market sold off sharply, implying management framed the quarter with caution, raised uncertainty about near-term visibility, or flagged decelerating demand/mix. Upside drivers: reported EPS beat and solid revenue (3.192B) provide a near-term fundamental anchor; downside drivers: large intraday -5.99% move, likely cautious/in-line or downbeat guidance comments, and the risk that the beat was driven by o",3233,1579,0.003966,high,HIGH_RISK,0.2808716707021792,-5.9894,-1.75,0,2,3.0,NO,0.0,2.0,NO,NO,NO,NO,NO,UNKNOWN,YES,NO,NO,YES,High,2018-08-02
CSGP,2018,4,GAINER,CoStar Group,Real Estate,True,,90.22591090202332,UP,0.7,7.0,17.7614,True,True,D7_CORE,"**PART 1 - Analysis:**
Management's medium-term tone is Moderately optimistic — the market reacted strongly (earnings-day +11.8%) and there was an EPS beat, signaling management framed results positively, but there is no clear evidence management materially raised multi-quarter guidance. Main upside drivers: a clear earnings-day pop and an EPS beat that can drive momentum and analyst/quant flows over the next 30 days. Main downside drivers: absence of an explicit guidance raise (visibility unkno",3233,1405,0.003618,low,,0.1200000000000001,11.7589,-0.81,0,0,7.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Low,2018-10-23
BIIB,2017,2,GAINER,Biogen,Healthcare,True,,156.34139585494995,DOWN,0.4,4.0,11.4717,False,False,,"**PART 1 - Analysis:**
Management tone: Balanced — the quarter delivered a small EPS beat but there is no evidence of an upbeat, optimistic re‑rating or of aggressive forward guidance; tone appears factual and measured rather than bullish. Upside drivers: modest EPS beat (actual > est), solid reported revenue. Downside drivers: market reacted slightly negative on the day (‑0.61%) suggesting guidance or commentary lacked upside, and no signs of raised guidance or clear demand acceleration to sust",3233,1242,0.003292,medium,DIR_TOO_LOW,0.1428571428571428,-0.6112,0.13,0,0,4.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Medium,2017-04-25
GE,2017,3,LOSER,GE Aerospace,Industrials,True,,84.90168809890747,DOWN,0.3,3.0,-23.8745,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately cautious — call emphasized cash/working-capital pressure, deferred dividends, cost actions and reduced cash-flow visibility rather than confident demand pickup. Key downside drivers: EPS weakness, organic revenue down (‑1%), 220bp industrial margin compression, sharp Power equipment/order declines (orders ‑18% overall, equipment ‑32%), reported CFOA materially lower and $1.3bn working capital use. Key upside drivers (limited): structural cost sa",5227,1168,0.003643,high,HIGH_RISK,-0.4081632653061224,1.0635,3.7,0,5,3.0,NO,0.0,5.0,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,High,2017-07-21
POOL,2018,3,GAINER,Pool Corporation,Industrials,True,,73.75666904449463,DOWN,0.4,4.0,12.6742,False,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — they highlighted continued top-line momentum (9% revenue, 8% base business, strong regional and POOL360 app growth) and operating-margin gains, but repeatedly flagged large inventory build and weaker operating cash flow that temper confidence. Main upside drivers: accelerating revenue vs. prior year, operating income expansion, and digital/B2B channel traction. Main downside drivers: a 26% inventory build and $61M YTD reduction in o",5313,1552,0.004432,medium,HAS_VETOES,0.0506329113924049,-1.3104,-3.06,2,3,4.0,NO,2.0,3.0,UNKNOWN,YES,YES,NO,NO,NO,NO,YES,YES,YES,Medium,2018-07-19
GEN,2017,1,GAINER,Gen Digital,Technology,True,,76.86141109466553,UP,0.6,6.0,18.117,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — they reiterated fiscal guidance, highlighted integration synergies and product traction (ATP adoption, strong DLP and services growth) and showed confidence in near-term revenue guidance. Upside drivers: an EPS and margin beat (non-GAAP EPS $0.29, operating margin 28.6% well above guide), product adoption (ATP sales and DLP strength) and an upbeat Q2 revenue guide range. Downside drivers: implied billings declined 1.6% YoY, Enterpri",5242,1569,0.004448,low,HAS_VETOES,,4.0894,2.84,2,2,6.0,NO,2.0,2.0,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,Low,2017-02-01
EPAM,2018,2,GAINER,EPAM Systems,Technology,True,,79.26477098464966,DOWN,0.4,4.0,12.0825,False,False,,"**PART 1 - Analysis:**
Management tone (next 1–2 quarters): Moderately cautious — the call produced only a very small EPS beat (+$0.02) and a modest intraday bounce, with no evidence of an upbeat, confidence‑raising guidance lift; market reaction and pre-earnings weakness imply cautious language and limited forward conviction. Main upside drivers: a small EPS beat and a modest positive earnings‑day move (+2.26%) that could support short‑term relief buying. Main downside drivers: the 5‑day pre‑ea",3234,1619,0.004046,low,DIR_TOO_LOW,0.0202020202020202,2.2615,-4.16,0,0,4.0,NO,0.0,0.0,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Medium,2018-05-09
STX,2017,3,LOSER,Seagate Technology,Technology,True,,60.50245976448059,DOWN,0.4,4.0,-15.3237,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — they highlighted margin improvement, product ramps (12TB helium), and double-digit exabyte demand, while also calling for disciplined OpEx reductions. Main upside drivers: large YoY margin expansion (+870 bps non‑GAAP), strong operating cash flow/FCF ($426M ops, $331M FCF) and healthy demand signals (HDD exabyte shipments +18% YoY, ASPs +10% YoY). Main downside drivers: the market has already punished the name heavily (5‑day pre‑ear",5133,1842,0.004967,high,HIGH_RISK,0.0377358490566038,-16.8284,-13.49,3,0,4.0,NO,3.0,0.0,NO,YES,YES,YES,UNKNOWN,NO,NO,NO,NO,NO,High,2017-07-25
AMD,2018,1,LOSER,Advanced Micro Devices,Technology,True,,77.70333504676819,DOWN,0.4,4.0,-17.0054,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — they highlighted record sequential growth in Advanced Products, improving margins and cash generation, but provided guidance that was essentially in-line and called out some weakness in communications/wireless while increasing OpEx for R&D. Main upside drivers: continued shift to higher‑margin Advanced Products (now 52% of revenue), strong 16nm/28nm/20nm node traction, solid gross margin (68.8%) and positive operating cash flow plus",5314,1728,0.004784,high,HIGH_RISK,,-4.336,8.93,3,1,4.0,NO,3.0,1.0,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,High,2018-01-30
GE,2018,4,GAINER,GE Aerospace,Industrials,True,,67.54028701782227,DOWN,0.4,4.0,13.8691,False,False,,"**PART 1 - Analysis:**
Management tone: Balanced. The call shows a slight EPS miss (actual vs. estimate -0.06) while the stock had a very large pre-run-up (+15.7%) and still jumped on the day (+11.6%), which suggests much of the positive news was already priced in and creates elevated sell‑the‑news risk. Upside drivers: possible upbeat commentary or revenue/other metrics that the market rewarded intraday (momentum). Downside drivers: the EPS miss, large run-up into the print, and no clear eviden",3233,1335,0.003478,high,HIGH_RISK,-0.0555555555555554,11.6418,15.71,0,0,4.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High,2018-10-30
WMT,2018,4,LOSER,Walmart,Consumer Defensive,True,,183.9714617729187,DOWN,0.3,3.0,-16.7764,True,False,,"**PART 1 - Analysis:**
Management tone is Moderately optimistic — they highlight milestone revenue (> $500B), comp and traffic acceleration (Walmart U.S. comps 2.6%, two‑year stack acceleration) and strong FY e‑commerce growth, but acknowledge margin pressure and call out investments (price, transportation, wage increases). Primary upside drivers: milestone top‑line, comp/traffic momentum, strong FY operating cash flow and shareholder returns; primary downside drivers: 61 bps gross‑margin compre",5354,1551,0.004441,high,HIGH_RISK,,-10.1918,-5.46,2,1,3.0,NO,2.0,1.0,UNKNOWN,YES,NO,YES,UNKNOWN,NO,NO,YES,NO,UNKNOWN,High,2018-11-15
