symbol,year,quarter,quarter_str,transcript_id,transcript_date,company_name,sector,industry,transcript_length,return_30d
A,2017,1,2017Q1,16649,2017-02-14,Agilent Technologies,Healthcare,Medical - Diagnostics & Research,55161,5.1465
AAPL,2017,1,2017Q1,17661,2017-01-31,Apple Inc.,Technology,Consumer Electronics,45442,15.9196
ABBV,2017,1,2017Q1,13527,2017-04-27,AbbVie,Healthcare,Drug Manufacturers - General,72980,7.1187
ABT,2017,1,2017Q1,22633,2017-04-19,Abbott Laboratories,Healthcare,Medical - Devices,52817,6.1478
ACGL,2017,1,2017Q1,11879,2017-04-26,Arch Capital Group,Financial Services,Insurance - Diversified,66119,-1.8029
ACN,2017,1,2017Q1,13747,2016-12-21,Accenture,Technology,Information Technology Services,52197,-7.9936
ADBE,2017,1,2017Q1,17049,2017-03-16,Adobe Inc.,Technology,Software - Infrastructure,44654,10.4291
ADI,2017,1,2017Q1,16685,2017-02-14,Analog Devices,Technology,Semiconductors,59763,5.1206
ADM,2017,1,2017Q1,22645,2017-05-02,Archer Daniels Midland,Consumer Defensive,Agricultural Farm Products,63870,-8.0472
ADP,2017,1,2017Q1,22259,2016-11-02,Automatic Data Processing,Industrials,Staffing & Employment Services,58767,13.6217
ADSK,2017,1,2017Q1,17322,2016-05-20,Autodesk,Technology,Software - Application,57422,-5.7484
AEE,2017,1,2017Q1,17309,2017-05-04,Ameren,Utilities,Regulated Electric,51825,5.236
AEP,2017,1,2017Q1,22657,2017-04-27,American Electric Power,Utilities,Regulated Electric,63291,6.1604
AES,2017,1,2017Q1,16806,2017-05-08,AES Corporation,Utilities,Diversified Utilities,41236,5.1237
AFL,2017,1,2017Q1,16758,2017-04-28,Aflac,Financial Services,Insurance - Life,52997,3.4106
AIG,2017,1,2017Q1,22295,2017-05-04,American International Group,Financial Services,Insurance - Diversified,53177,3.6562
AIZ,2017,1,2017Q1,14323,2017-05-03,Assurant,Financial Services,Insurance - Specialty,28657,5.482
AJG,2017,1,2017Q1,13005,2017-04-28,Arthur J. Gallagher & Co.,Financial Services,Insurance - Brokers,33095,2.3268
AKAM,2017,1,2017Q1,14311,2017-05-02,Akamai Technologies,Technology,Software - Infrastructure,64236,-21.296
ALB,2017,1,2017Q1,12957,2017-05-04,Albemarle Corporation,Basic Materials,Chemicals - Specialty,51149,0.4087
ALGN,2017,1,2017Q1,12742,2017-04-27,Align Technology,Healthcare,Medical - Devices,53669,19.4188
ALL,2017,1,2017Q1,17098,2017-05-03,Allstate,Financial Services,Insurance - Property & Casualty,60330,9.7275
AMAT,2017,1,2017Q1,17145,2017-02-15,Applied Materials,Technology,Semiconductors,56695,9.6083
AMD,2017,1,2017Q1,12790,2016-07-27,Advanced Micro Devices,Technology,Semiconductors,37717,-13.8686
AME,2017,1,2017Q1,13442,2017-05-02,Ametek,Industrials,Industrial - Machinery,50845,6.8588
AMGN,2017,1,2017Q1,17297,2017-04-26,Amgen,Healthcare,Drug Manufacturers - General,82687,-0.3341
